[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 1] Τοῖς δὲ ὁσίοις σου μέγιστον ἦν φῶς, ὧν φωνὴν μὲν ἀκούοντες, μορφὴν δὲ οὐχ ὁρῶντες, ὅτι μὲν οὖν κᾀκεῖνοι ἐπεπόνθεισαν, ἐμακάριζον,
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 2] ὅτι δὲ οὐ βλάπτουσι προηδικημένοι, εὐχαριστοῦσι, καὶ τοῦ διενεχθῆναι χάριν ἐδέοντο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 3] Ἀνθʼ ὧν πυριφλεγῆ στύλον, ὁδηγὸν μὲν ἀγνώστου ὁδοιπορίας, ἥλιον δὲ ἀβλαβῆ φιλοτίμου ξενιτείας παρέσχες.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 4] Ἄξιοι μὲν γὰρ ἐκεῖνοι στερηθῆναι φωτὸς, καὶ φυλακισθῆναι ἐν σκότει, οἱ κατακλείστους φυλάξαντες τοὺς υἱούς σου, διʼ ὧν ἤμελλε τὸ ἄφθαρτον νόμου φῶς τῷ αἰῶνι δίδοσθαι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 5] Βουλευσαμένους δʼ αὐτοὺς τὰ τῶν ὁσιῶν ἀποκτεῖναι νήπια, καὶ ἑνὸς ἐκτεθέντος τέκνου, καὶ σωθέντος, εἰς ἔλεγχον τὸ αὐτῶν ἀφείλω πλῆθος τέκνων, καὶ ὁμοθυμαδὸν ἀπώλεσας ἐν ὕδατι σφοδρῷ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 6] Ἐκείνη ἡ νὺξ προεγνώσθη πατράσιν ἡμῶν, ἵνα ἀσφαλῶς εἰδότες οἷς ἐπίστευσαν ὅρκοις, ἐπευθυμήσωσι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 7] Προσεδέχθη δὲ ὑπὸ λαοῦ σου σωτηρία μὲν δικαίων, ἐχθρῶν δὲ ἀπώλεια.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 8] Ὧς γὰρ ἐτιμωρήσω τοὺς ὑπεναντίους, τούτῳ ἡμᾶς προσκαλεσάμενος ἐδόξασας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 9] Κρυφῇ γὰρ ἐθυσιαζον ὅσιοι παῖδες ἀγαθῶν, καὶ τὸν τῆς θειότητος νόμον ἐν ὁμονοίᾳ διέθεντο, τῶν αὐτῶν ὁμοίως καὶ ἀγαθῶν καὶ κινδύνων μεταλήψεσθαι τοὺς ἁγίους, πατέρων ἤδη προαναμελπόντων αἴνους.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 10] Ἀντήχει δʼ ἀσύμφωνος ἐχθρῶν βοὴ, καὶ οἰκτρὰ διεφέρετο θρηνουμένων παίδων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 11] Ὁμοίᾳ δὲ δίκῃ δοῦλος ἅμα δεσπότῃ κολασθεὶς, καὶ δημότης βασιλεῖ τὰ αὐτὰ πάσχων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 12] Ὁμοθυμαδὸν δὲ πάντες ἐν ἑνὶ ὀνόματι θανάτου νεκροὺς εἶχον ἀναριθμήτους, οὐδὲ γὰρ πρὸς τὸ θάψαι οἱ ζῶντες ἦσαν ἱκανοὶ, ἐπεὶ πρὸς μίαν ῥοπὴν ἡ ἐντιμοτέρα γένεσις αὐτῶν διεφθάρη.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 13] Πάντα γὰρ ἀπιστοῦντες διὰ τὰς φαρμακίας, ἐπὶ τῷ τῶν πρωτοτόκων ὀλέθρῳ, ὡμολόγησαν Θεοῦ υἱὸν λαὸν εἶναι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 14] Ἡσύχου γὰρ σιγῆς περιεχούσης τὰ πάντα, καὶ νυκτὸς ἐν ἰδίῳ τάχει μεσαζούσης,
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 15] ὁ παντοδύναμός σου λόγος ἀπʼ οὐρανῶν ἐκ θρόνων βασιλειῶν, ἀπότομος πολεμιστὴς, εἰς μέσον τῆς ὀλεθρίας ἥλατο γῆς, ξίφος ὀξὺ τὴν ἀνυπόκριτον ἐπιταγήν σον φέρων,
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 16] καὶ στὰς ἐπλήρωσε τὰ πάντα θανάτου· καὶ οὐρανοῦ μὲν ἥπτετο, βεβήκει δʼ ἐπὶ γῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 17] Τότε παραχρῆμα φαντασίαι μὲν ὀνείρων δεινῶς ἐξετάραξαν αὐτοὺς, φόβοι δὲ ἐπέστησαν ἀδόκητοι
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 18] καὶ ἄλλος ἀλλαχῇ ῥιφεὶς ἡμίθνητος, διʼ ἣν ἔθνησκεν αἰτίαν ἐνεφάνιζεν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 19] Οἱ γὰρ ὄνειροι θορυβήσαντες αὐτοὺς, τοῦτο προεμήνυσαν, ἵνα μὴ ἀγνοοῦντες διʼ ὃ κακῶς πάσχουσιν, ἀπόλωνται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 20] Ἥψατο δὲ καὶ δικαίων πεῖρα θανάτου, καὶ θραῦσις ἐν ἐρήμῳ ἐγένετο πλήθους· ἀλλʼ οὐκ ἐπὶ πολὺ ἔμεινεν ἡ ὀργή.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 21] Σπεύσας γὰρ ἀνὴρ ἄμεμπτος προεμάχησε· τὸ τῆς ἰδίας λειτουργίας ὅπλον, προσευχὴν καὶ θυμιάματος ἐξιλασμὸν κομίσας, ἀντέστη τῷ θυμῷ, καὶ πέρας ἐπέθηκε τῇ συμφορᾷ, δεικνὺς ὅτι σός ἐστι θεράπων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 22] Ἐνίκησε δὲ τὸν ὄχλον οὐκ ἰσχύϊ τοῦ σώματος, οὐχ ὅπλων ἐνεργείᾳ, ἀλλὰ λόγῳ τὸν κολάζοντα ὑπέταξεν, ὅρκους πατέρων καὶ διαθήκας ὑπομνήσας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 23] Σωρηδὸν γὰρ ἤδη πεπτωκότων ἐπʼ ἀλλήλων νεκρῶν, μεταξὺ στὰς, ἀνέκοψε τὴν ὀργὴν, καὶ διέσχισε τὴν πρὸς τοὺς ζῶντας ὁδόν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 24] Ἐπὶ γὰρ ποδήρους ἐνδύματος ἦν ὅλος ὁ κόσμος, καὶ πατέρων δόξαι ἐπὶ τετραστίχου λίθου γλυφῆς, καὶ μεγαλωσύνη σου ἐπὶ διαδήματος κεφαλῆς αὐτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 18 | Verse 25] Τούτοις εἶξεν ὁ ὀλοθρεύων, ταῦτα δὲ ἐφοβήθησαν· ἦν γὰρ μόνη ἡ πεῖρα τῆς ὀργῆς ἱκανή.
