[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 1] Τοῖς δὲ ἀσεβέσι μέχρι τέλους ἀνελεήμων θυμὸς ἐπέστη· προῄδει γὰρ αὐτῶν καὶ τὰ μέλλοντα,
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 2] ὅτι αὐτοὶ ἐπιστρέψαντες τοῦ ἀπεῖναι, καὶ μετὰ σπουδῆς προπέμψαντες αὐτοὺς, διώξουσι μεταμεληθέντες.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 3] Ἔτι γὰρ ἐν χερσὶν ἔχοντες τὰ πὲνθη, καὶ προσοδυρόμενοι τάφοις νεκρῶν, ἕτερον ἐπεσπάσαντο λογισμὸν ἀνοίας, καὶ οὓς ἱκετεύοντες ἐξέβαλον, τούτους ὡς φυγάδας ἐδίωκον.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 4] Εἷλκε γὰρ αὐτοὺς ἡ ἀξία ἐπὶ τοῦτο τὸ πέρας ἀνάγκη, καὶ τῶν συμβεβηκότων ἀμνηστίαν ἐνέβαλεν, ἵνα τὴν λείπουσαν ταῖς βασάνοις προαναπληρώσωσιν κόλασιν·
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 5] καὶ ὁ μὲν λαός σου παράδοξον ὁδοιπορίαν περάσῃ, ἐκεῖνοι δὲ ξένον εὕρωσι θάνατον.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 6] Ὅλη γὰρ ἡ κτίσις ἐν ἰδίῳ γένει πάλιν ἄνωθεν διετυποῦτο, ὑπηρετοῦσα ταῖς ἰδίαις ἐπιταγαῖς, ἵνα οἱ σοὶ παῖδες φυλαχθῶσιν ἀβλαβεῖς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 7] Ἡ τὴν παρεμβολὴν σκιάζουσα νεφέλη, ἐκ δὲ προϋφεστῶτος ὕδατος ξηρᾶς ἀνάδυσις γῆς ἐθεωρήθη, ἐξ ἐρυθρᾶς θαλάσσης ὁδὸς ἀνεμπόδιστος, καὶ χλοηφόρον πεδίον ἐκ κλύδωνος βιαίου,
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 8] διʼ οὗ πανεθνὶ διῆλθον οἱ τῇ σῇ σκεπαζόμενοι χειρί, θεωρήσαντες θαυμαστὰ τέρατα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 9] Ὡς γὰρ ἵπποι ἐνεμήθησαν, καὶ ὡς ἀμνοὶ διεσκίρτησαν, αἰνοῦντές σε, Κύριε, τὸν ῥυόμενον αὐτούς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 10] Ἐμέμνηντο γὰρ ἔτι τῶν ἐν τῇ παροικίᾳ αὐτῶν, πῶς ἀντὶ μὲν γενέσεως ζώων ἐξήγαγεν ἡ γῆ σκνῖπα, ἀντὶ δὲ ἐνύδρων ἐξηρεύξατο ὁ ποταμὸς πλῆθος βατράχων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 11] Ἐφʼ ὑστέρῳ δὲ εἶδον καὶ νέαν γένεσιν ὀρνέων, ὅτι ἐπιθυμίᾳ προαχθέντες ᾐτήσαντο ἐδέσματα τρυφῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 12] Εἰς γὰρ παραμυθίαν ἀνέβη αὐτοῖς ἀπὸ θαλάσσης ὀρτυγομήτρα,
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 13] καὶ αἱ τιμωρίαι τοῖς ἁμαρτωλοῖς ἐπῆλθον, οὐκ ἄνευ τῶν γεγονότων τεκμήριων τῇ βίᾳ τῶν κεραυνῶν· δικαίως γὰρ ἔπασχον ταῖς ἰδίαις αὐτῶν πονηρίαις· καὶ γὰρ χαλεπωτέραν μισοξενίαν ἐπετήδευσαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 14] Οἱ μὲν γὰρ τοὺς ἀγνοοῦντας οὐκ ἐδέχοντο παρόντας, οὗτοι δὲ εὐεργέτας ξένους ἐδουλοῦντο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 15] Καὶ οὐ μόνον, ἀλλʼ ἥτις ἐπισκοπὴ ἔσται αὐτῶν, ἐπεὶ ἀπεχθῶς προσεδέχοντο τοὺς ἀλλοτρίους·
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 16] οἱ δὲ μετὰ ἑορτασμάτων εἰσδεξάμενοι τοὺς ἤδη τῶν αὐτῶν μετεσχηκότας δικαίων δεινοῖς ἐκάκωσαν πόνοις.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 17] Ἐπλήγησαν δὲ καὶ ἀορασίᾳ, ὥσπερ ἐκεῖνοι ἐπὶ ταῖς τοῦ δικαίου θύραις, ὅτε ἀχανεῖ περιβληθέντες σκότει, ἕκαστος τῶν αὐτοῦ θυρῶν τὴν δίοδον ἐζήτει.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 18] Διʼ ἑαυτῶν γὰρ τὰ στοιχεῖα μεθαρμοζόμενα, ὥσπερ ἐν ψαλτηρίῳ φθόγγοι τοῦ ῥυθμοῦ τὸ ὄνομα διαλλάσσουσι, πάντοτε μένοντα ἤχῳ, ὅπερ ἐστὶν εἰκάσαι ἐκ τῆς τῶν γεγονότων ὄψεως ἀκριβῶς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 19] Χερσαῖα γὰρ εἰς ἔνυδρα μετεβάλλετο, καὶ νηκτὰ μετέβαινεν ἐπὶ γῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 20] Πῦρ ἴσχυσεν ἐν ὕδατι τῆς ἰδίας δυνάμεως, καὶ ὕδωρ τῆς σβεστικῆς δυνάμεως ἐπελανθάνετο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 21] Φλόγες ἀνάπαλιν εὐφθάρτων ζώων οὐκ ἐμάραναν σάρκας ἐμπεριπατούντων, οὐδὲ τηκτὸν εὔτηκτον κρυσταλλοειδὲς γένος ἀμβροσίας τροφῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 19 | Verse 22] Κατὰ πάντα γὰρ, Κύριε, ἐμεγάλυνας τὸν λαόν σου, καὶ ἐδόξασας, καὶ οὐχ ὑπερεῖδες, ἐν παντὶ καιρῷ καὶ τόπῳ παριστάμενος.
