[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 1] Μάταιοι μὲν γὰρ πάντες ἄνθρωποι φύσει, οἷς παρῆν Θεοῦ ἀγνωσία, καὶ ἐκ τῶν ὁρομένων ἀγαθῶν οὐκ ἴσχυσαν εἰδέναι τὸν ὄντα, οὔτε τοῖς ἔργοις προσχόντες ἐπέγνωσαν τὸν τεχνίτην.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 2] Ἀλλʼ ἢ πῦρ, ἢ πνεῦμα, ἢ ταχινὸν ἀέρα, ἢ κύκλον ἄστρων, ἢ βίαιον ὕδωρ, ἢ φωστῆρας οὐρανοῦ, πρυτάνεις κόσμου θεοὺς ἐνόμισαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 3] Ὧν εἰ μὲν τῇ καλλονῇ τερπόμενοι, θεοὺς ὑπελάμβανον, γνώτωσαν πόσῳ τούτων ὁ δεσπότης ἐστὶ βελτίων· ὁ γὰρ τοῦ κάλλους γενεσιάρχης ἔκτισεν αὐτά.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 4] Εἰ δὲ δύναμιν καὶ ἐνέργειαν ἐκπλαγέντες, νοησάτωσαν ἀπʼ αὐτῶν πόσῳ ὁ κατασκευάσας αὐτὰ δυνατώτερός ἐστιν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 5] Ἐκ γὰρ μεγέθους καλλονῆς κτισμάτων ἀναλόγως ὁ γενεσιουργὸς αὐτῶν θεωρεῖται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 6] Ἀλλʼ ὅμως ἐπὶ τούτοις ἐστὶ μέμψις ὀλίγη, καὶ γὰρ αὐτοὶ τάχα πλανῶνται Θεὸν ζητοῦντες, καὶ θέλοντες εὑρεῖν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 7] Ἐν γὰρ τοῖς ἔργοις αὐτοῦ ἀναστρεφόμενοι διερευνῶσι, καὶ πείθονται τῇ ὄψει, ὅτι καλὰ τὰ βλεπόμενα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 8] Πάλιν δὲ οὐδʼ αὐτοὶ συγγνωστοί.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 9] Εἰ γὰρ τοσοῦτον ἴσχυσαν εἰδέναι, ἵνα δύνωνται στοχάσασθαι τὸν αἰῶνα, τὸν τούτων δεσπότην πῶς τάχιον οὐχ εὗρον;
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 10] Ταλαίπωροι δὲ καὶ ἐν νεκροῖς αἱ ἐλπίδες αὐτων, οἵτινες ἐκάλεσαν θεοὺς ἔργα χειρῶν ἀνθρώπων, χρυσὸν καὶ ἄργυρον τέχνης ἐμμελέτημα, καὶ ἀπεικάσματα ζώων, ἢ λίθον ἄχρηστον χειρὸς ἔργον ἀρχαίας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 11] Εἰ δὲ καί τις ὑλοτῦμος τέκτων εὐκίνητον φυτὸν ἐκπρίσας, περιέξυσεν εὐμαθῶς πάντα τὸν φλοιὸν αὐτοῦ, καὶ τεχνησέμενος εὐπρεπῶς κατεσκεύασε χρήσιμον σκεῦος εἰς ὑπηρεσίαν ζωῆς,
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 12] τὰ δὲ ἀποβλήματα τῆς ἐργασίας εἰς ἑτοιμασίαν τροφῆς ἀναλώσας ἐνεπλήσθη,
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 13] τὸ δὲ ἐξ αὐτῶν ἀπόβλημα εἰς οὐθὲν εὔχρηστον, ξύλον σκολιὸν, καὶ ὄζοις συμπεφυκὸς, λαβὼν ἔγλυψεν ἐν ἐπιμελείᾳ ἀργίας αὐτοῦ, καὶ ἐμπειρίᾳ συνέσεως ἐτύπωσεν αὐτὸ, ἀπείκασεν αὐτὸ εἰκόνι ἀνθρώπου,
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 14] ἢ ζώῳ τινὶ εὐτελεῖ ὡμοίωσεν αὐτὸ, καταχρίσας μίλτῳ, καὶ φύκει ἐρυθῄνας χρόαν αὐτοῦ, καὶ πᾶσαν κηλίδα τὴν ἐν αὐτῷ καταχρίσας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 15] Καὶ ποιήσας αὐτῷ αὐτοῦ ἄξιον οἴκημα, ἐν τοίχῳ ἔθηκεν αὐτὸ ἀσφαλισάμενος σιδήρῳ·
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 16] ἵνα μὲν οὖν μὴ καταπέσῃ, προενόησεν αὐτοῦ, εἰδὼς ὅτι ἀδυνατεῖ ἑαυτῷ βοηθῆσαι, καὶ γάρ ἐστιν εἰκὼν, καὶ χρείαν ἔχει βοηθείας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 17] Περὶ δὲ κτημάτων καὶ γάμων αὐτοῦ καὶ τέκνων προσευχόμενος, οὐκ αἰσχύνεται τῷ ἀψύχῳ προσλαλῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 18] Καὶ περὶ μὲν ὑγείας τὸ ἀσθενὲς ἐπικαλεῖται, περὶ δὲ ζωῆς τὸν νεκρὸν ἀξιοῖ, περὶ δὲ ἐπικουρίας τὸν ἀπειρότατον ἱκετεύει, περὶ δὲ ὁδοιπορίας τὸ μηδὲ βάσει χρῆσθαι δυνάμενον,
[LXX | EL | OT | Wisdom of Solomon | Chapter 13 | Verse 19] περὶ δὲ πορισμοῦ καὶ ἐργασίας καὶ χειρῶν ἐπιτυχίας τὸ ἀδρανέστατον ταῖς χερσὶν εὐδράνειαν αἰτεῖται.
