[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 1] Εἰμι μὲν κᾀγὼ θνητὸς ἄνθρωπος, ἶσος ἅπασι, καὶ γηγενοῦς ἀπόγονος πρωτοπλάστου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 2] Καὶ ἐν κοιλίᾳ μητρὸς ἐγλύφην σὰρξ δεκαμηνιαίῳ χρόνῳ, παγεὶς ἐν αἵματι ἐκ σπέρματος ἀνδρὸς καὶ ἡδονῆς ὕπνῳ συνελθούσης.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 3] Καὶ ἐγὼ δὲ γενόμενος ἔσπασα τὸν κοινὸν ἀέρα, καὶ ἐπὶ τὴν ὁμοιοπαθῆ κατέπεσον γῆν, πρώτην φωνὴν τὴν ὁμοίαν πᾶσιν ἶσα κλαίων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 4] Ἐν σπαργάνοις ἀνετράφην, καὶ ἐν φροντίσιν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 5] Οὐδεὶς γὰρ βασιλεὺς ἑτέραν ἔσχε γενέσεως ἀρχήν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 6] Μία δὲ πάντων εἴσοδος εἰς τὸν βίον, ἔξοδός τε ἴση.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 7] Διὰ τοῦτο ηὐξάμην, καὶ φρόνησις ἐδόθη μοι, ἐπεκαλεσάμην, καὶ ἦλθέ μοι πνεῦμα σοφίας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 8] Προέκρινα αὐτὴν σκήπτρων καὶ θρόνων, καὶ πλοῦτον οὐδὲν ἡγησάμην ἐν συγκρίσει αὐτῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 9] Οὐδὲ ὁμοίωσα αὐτῇ λίθον ἀτίμητον, ὅτι ὁ πᾶς χρυσὸς ἐν ὄψει αὐτῆς ψάμμος ὀλίγη, καὶ ὡς πηλὸς λογισθήσεται ἄργυρος ἐναντίον αὐτῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 10] Ὑπὲρ ὑγίειαν καὶ εὐμορφίαν ἠγάπησα αὐτὴν, καὶ προειλόμην αὐτὴν ἀντὶ φωτὸς ἔχειν, ὅτι ἀκοίμητον τὸ ἐκ ταύτης φέγγος.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 11] Ἦλθε δέ μοι τὰ ἀγαθὰ ὁμοῦ πάντα μετʼ αὐτῆς, καὶ ἀναρίθμητος πλοῦτος ἐν χερσὶν αὐτῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 12] Εὐφράνθην δὲ ἐπὶ πάντων, ὅτι αὐτῶν ἡγεῖται σοφία, ἠγνόουν δὲ αὐτὴν γενέτιν εἶναι τούτων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 13] Ἀδόλως τε ἔμαθον, ἀφθόνως τε μεταδίδωμι, τὸν πλοῦτον αὐτῆς οὐκ ἀποκρύπτομαι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 7 | Verse 14] Ἀνεκλιπὴς γὰρ θησαυρός ἐστιν ἀνθρώποις, ὃν οἱ χρησάμενοι πρὸς Θεὸν ἐστείλαντο φιλίαν, διὰ τὰς ἐκ παιδείας δωρεὰς συσταθέντες.
