[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 1] Διὰ τοῦτο διʼ ὁμοίων ἐκολάσθησαν ἀξίως, καὶ διὰ πλήθους κνωδάλον ἐβασανίσθησαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 2] Ἀνθʼ ἧς κολάσεως εὐεργετήσας τὸν λαόν σου, εἰς ἐπιθυμίαν ὀρέξεως ξένην γεῦσιν, τροφὴν ἡτοίμασας ὀρτυγομήτραν,
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 3] ἵνα ἐκεῖνοι μὲν ἐπιθυμοῦντες τροφὴν, διὰ τὴν εἰδέχθειαν τῶν ἐπαπεσταλμένων καὶ τὴν ἀναγκαίαν ὄρεξιν ἀποστρέφωνται, αὐτοὶ δὲ ἐπʼ ὀλίγον ἐνδεεῖς γενόμενοι καὶ ξένης μετάσχωσι γεύσεως.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 4] Ἔδει γὰρ ἐκείνοις μὲν ἀπαραίτητον ἔνδειαν ἐπελθεῖν τυραννοῦσι, τούτοις δὲ μόνον δειχθῆναι πῶς οἱ ἐχθροὶ αὐτῶν ἐβασανίζοντο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 5] Καὶ γὰρ ὅτε αὐτοῖς δεινὸς ἐπῆλθε θηρίων θυμὸς, δήγμασί τε σκολιῶν διεφθείροντο ὄφεων, οὐ μέχρι τέλους ἔμεινεν ἡ ὀργή σου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 6] Εἰς νουθεσίαν δὲ πρὸς ὀλίγον ἐταράχθησαν, σύμβολον ἔχοντες σωτηρίας, εἰς ἀνάμνησιν ἐντολῆς νόμου σου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 7] Ὁ γὰρ ἐπιστραφεὶς οὐ διὰ τὸ θεωρούμενον ἐσώζετο, ἀλλὰ διὰ σὲ τὸν πάντων σωτῆρα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 8] Καὶ ἐν τούτῳ δὲ ἔπεισας τοὺς ἐχθροὺς ἡμῶν, ὅτι σὺ εἶ ὁ ῥυόμενος ἐκ παντὸς κακοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 9] Οὓς μὲν γὰρ ἀκρίδων καὶ μυιῶν ἀπέκτεινε δήγματα, καὶ οὐχ εὑρέθη ἴαμα τῇ ψυχῇ αὐτῶν, ὅτι ἄξιοι ησαν ὑπὸ τοιούτων κολασθῆναι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 10] Τοὺς δὲ υἱούς σου οὐδὲ ἰοβόλων δρακόντων ἐνίκησαν ὀδόντες, τὸ ἔλεος γάρ σου ἀντιπαρῆλθε καὶ ἰάσατο αὐτούς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 16 | Verse 11] Εἰς γὰρ ὑπόμνησιν τῶν λογίων σου ἐνεκεντρίζοντο, καὶ ὀξέως διεσώζοντο, ἵνα μὴ εἰς βαθεῖαν ἐμπεσόντες λήθην, ἀπερίσπαστοι γένωνται τῆς σῆς εὐεργεσίας.
