[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 1] And certain men who came down from Judea, taught the brethren, and said , Except ye be circumcised after the manner of Moses, ye cannot be saved.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 2] When therefore Paul and Barnabas had no small dissension and disputation with them, they determined that Paul and Barnabas, and certain others of them, should go to Jerusalem to the apostles and elders about this question.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 3] And being brought on their way by the church, they passed through Phenice, and Samaria, declaring the conversion of the Gentiles: and they caused great joy to all the brethren.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 4] And when they had come to Jerusalem, they were received by the church, and by the apostles and elders, and they declared all things that God had done with them.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 5] But there rose certain of the sect of the Pharisees, who believed, saying, That it was needful to circumcise them, and to command them to keep the law of Moses.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 6] And the apostles and elders came together to consider of this matter.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 7] And when there had been much disputing, Peter rose and said to them, Men, brethren, ye know that a good while ago, God made choice among us, that the Gentiles, by my mouth should hear the word of the gospel, and believe.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 8] And God, who knoweth the hearts, bore them witness, giving to them the Holy Spirit, even as he did to us:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 9] And put no difference between us and them, purifying their hearts by faith.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 10] Now therefore why tempt ye God, to put a yoke upon the neck of the disciples, which neither our fathers nor we were able to bear?
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 11] But we believe, that through the grace of the Lord Jesus Christ, we shall be saved even as they.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 12] Then all the multitude kept silence, and gave audience to Barnabas and Paul, declaring what miracles and wonders God had wrought by them among the Gentiles.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 13] And after they held their peace, James answered, saying, Men, brethren, hearken to me.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 14] Simeon hath declared how God at the first visited the Gentiles to take from among them a people for his name.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 15] And to this agree the words of the prophets; as it is written,
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 16] After this I will return, and will build again the tabernacle of David which is fallen down; and I will build again the ruins of it; and I will set it up:
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 17] That the residue of men may seek after the Lord, and all the Gentiles, upon whom my name is called, saith the Lord, who doeth all these things.
[WEBSTER | EN | NT | Acts | Chapter 15 | Verse 18] Known to God are all his works from the beginning of the world.
