[YLT | EN | OT | Nahum | Chapter 1 | Verse 1] Burden of Nineveh. The Book of the Vision of Nahum the Elkoshite.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 2] A God zealous and avenging [is] Jehovah, An avenger [is] Jehovah, and possessing fury. An avenger [is] Jehovah on His adversaries, And He is watching for His enemies.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 3] Jehovah [is] slow to anger, and great in power, And Jehovah doth not entirely acquit, In a hurricane and in a tempest [is] His way, And a cloud [is] the dust of His feet.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 4] He is pushing against a sea, and drieth it up, Yea, all the floods He hath made dry, Languishing [are] Bashan and Carmel, Yea, the flower of Lebanon [is] languishing.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 5] Mountains have shaken because of Him, And the hills have been melted; And lifted up [is] the earth at His presence, And the world and all dwelling in it.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 6] Before His indignation who doth stand? And who riseth up in the heat of His anger? His fury hath been poured out like fire, And the rocks have been broken by Him.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 7] Good [is] Jehovah for a strong place in a day of distress. And He knoweth those trusting in Him.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 8] And with a flood passing over, An end He maketh of its place, And His enemies doth darkness pursue.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 9] What do we devise against Jehovah? An end He is making, arise not twice doth distress.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 10] For while princes [are] perplexed, And with their drink are drunken, They have been consumed as stubble fully dried.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 11] From thee hath come forth a deviser of evil Against Jehovah — a worthless counsellor.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 12] Thus said Jehovah: Though complete, and thus many, Yet thus they have been cut off, And he hath passed away. And I afflicted thee, I afflict thee no more.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 13] And now I break his rod from off thee, And thy bands I do draw away.
[YLT | EN | OT | Nahum | Chapter 1 | Verse 14] And commanded concerning thee hath Jehovah, 'No more of thy name doth spread abroad, From the house of thy gods I cut off graven and molten image, I appoint thy grave, for thou hast been vile.
