[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 1] In the first year of King Cyrus of the Persians, that the word of the Lord by the mouth of Jeremy might be accomplished,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 2] the Lord stirred up the spirit of King Cyrus of the Persians, and he made a proclamation throughout all his kingdom, and also by writing,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 3] saying, “Cyrus king of the Persians says: The Lord of Israel, the Most High Lord, has made me king of the whole world,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 4] and commanded me to build him a house at Jerusalem that is in Judea.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 5] If therefore there are any of you that are of his people, let the Lord, even his Lord, be with him, and let him go up to Jerusalem that is in Judea, and build the house of the Lord of Israel. He is the Lord who dwells in Jerusalem.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 6] Therefore, of those who dwell in various places, let those who are in his own place help each one with gold, with silver,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 7] with gifts, with horses, and cattle, beside the other things which have been added by vow for the temple of the Lord which is in Jerusalem.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 8] Then the chief of the families of Judah and of the tribe of Benjamin stood up, with the priests, the Levites, and all whose spirit the Lord had stirred to go up, to build the house for the Lord which is in Jerusalem.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 9] Those who lived around them helped them in all things with silver and gold, with horses and cattle, and with very many gifts that were vowed by a great number whose minds were so moved.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 10] King Cyrus also brought out the holy vessels of the Lord, which Nabuchodonosor had carried away from Jerusalem and had stored in his temple of idols.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 11] Now when King Cyrus of the Persians had brought them out, he delivered them to Mithradates his treasurer,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 12] and by him they were delivered to Sanabassar the governor of Judea.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 13] This was the number of them: one thousand gold cups, one thousand silver cups, twenty-nine silver censers, thirty gold bowls, two thousand four hundred ten silver bowls, and one thousand other vessels.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 14] So all the vessels of gold and of silver were brought up, even five thousand four hundred seventy-nine,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 15] and were carried back by Sanabassar, together with the returning exiles, from Babylon to Jerusalem.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 16] In the time of King Artaxerxes of the Persians, Belemus, Mithradates, Tabellius, Rathumus, Beeltethmus, and Samellius the scribe, with their other associates, dwelling in Samaria and other places, wrote to him against those who lived in Judea and Jerusalem the following letter:
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 17] “To King Artaxerxes our Lord, from your servants, Rathumus the recorder, Samellius the scribe, and the rest of their council, and the judges who are in Coelesyria and Phoenicia:
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 18] Let it now be known to our lord the king, that the Jews that have come up from you to us, having come to Jerusalem, are building that rebellious and wicked city, and are repairing its marketplaces and walls, and are laying the foundation of a temple.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 19] Now if this city is built and its walls are finished, they will not only refuse to give tribute, but will even stand up against kings.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 20] Since the things pertaining to the temple are now in hand, we think it appropriate not to neglect such a matter,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 21] but to speak to our lord the king, to the intent that, if it is your pleasure, search may be made in the books of your ancestors.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 22] You will find in the chronicles what is written concerning these things, and will understand that that city was rebellious, troubling both kings and cities,
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 23] and that the Jews were rebellious, and kept starting wars there in the past. For this cause, this city was laid waste.
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 24] Therefore now we do declare to you, O lord the king, that if this city is built again, and its walls set up again, you will from then on have no passage into Coelesyria and Phoenicia.”
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 25] Then the king wrote back again to Rathumus the recorder, Beeltethmus, Samellius the scribe, and to the rest that of their associates who lived in Samaria, Syria, and Phoenicia, as follows:
[WEB | EN | OT | 1 Esdras | Chapter 2 | Verse 26] “I have read the letter which you have sent to me. Therefore I commanded to make search, and it has been found that that city of old time has fought against kings,
