[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 1] After these things, when Artaxerxes the king of the Persians reigned, Esdras came, who was the son of Azaraias, the son of Zechrias, the son of Helkias, the son of Salem,
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 2] the son of Sadduk, the son of Ahitob, the son of Amarias, the son of Ozias, the son of Memeroth, the son of Zaraias, the son of Savias, the son of Boccas, the son of Abisne, the son of Phinees, the son of Eleazar, the son of Aaron, the chief priest.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 3] This Esdras went up from Babylon as a skilled scribe in the law of Moses, which was given by the God of Israel.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 4] The king honored him, for he found favor in his sight in all his requests.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 5] There went up with him also some of the children of Israel, and of the priests, Levites, holy singers, gatekeepers, and temple servants to Jerusalem
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 6] in the seventh year of the reign of Artaxerxes, in the fifth month (this was the king’s seventh year); for they left Babylon on the new moon of the first month and came to Jerusalem, by the prosperous journey which the Lord gave them for his sake.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 7] For Esdras had very great skill, so that he omitted nothing of the law and commandments of the Lord, but taught all Israel the ordinances and judgments.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 8] Now the commission, which was written from King Artaxerxes, came to Esdras the priest and reader of the law of the Lord, was as follows:
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 9] “King Artaxerxes to Esdras the priest and reader of the law of the Lord, greetings.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 10] Having determined to deal graciously, I have given orders that those of the nation of the Jews, and of the priests and Levites, and of those within our realm who are willing and freely choose to, should go with you to Jerusalem.
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 11] As many therefore as are so disposed, let them depart with you, as it has seemed good both to me and my seven friends the counselors,
[WEB | EN | OT | 1 Esdras | Chapter 8 | Verse 12] that they may look to the affairs of Judea and Jerusalem, in accordance with what is in the Lord’s law,
