[GNV | EN | OT | Job | Chapter 36 | Verse 1] Elihu also proceeded and sayde,
[GNV | EN | OT | Job | Chapter 36 | Verse 2] Suffer me a litle, and I will instruct thee: for I haue yet to speake on Gods behalfe.
[GNV | EN | OT | Job | Chapter 36 | Verse 3] I will fetche my knowledge afarre off, and will attribute righteousnes vnto my Maker.
[GNV | EN | OT | Job | Chapter 36 | Verse 4] For truely my wordes shall not be false, and he that is perfect in knowledge, speaketh with thee.
[GNV | EN | OT | Job | Chapter 36 | Verse 5] Behold, the mighty God casteth away none that is mighty and valiant of courage.
[GNV | EN | OT | Job | Chapter 36 | Verse 6] He mainteineth not the wicked, but he giueth iudgement to the afflicted.
[GNV | EN | OT | Job | Chapter 36 | Verse 7] He withdraweth not his eyes from the righteous, but they are with Kings in ye throne, where he placeth them for euer: thus they are exalted.
[GNV | EN | OT | Job | Chapter 36 | Verse 8] And if they bee bound in fetters and tyed with the cordes of affliction,
[GNV | EN | OT | Job | Chapter 36 | Verse 9] Then will he shewe them their worke and their sinnes, because they haue bene proude.
[GNV | EN | OT | Job | Chapter 36 | Verse 10] He openeth also their eare to discipline, and commandeth them that they returne from iniquity.
[GNV | EN | OT | Job | Chapter 36 | Verse 11] If they obey and serue him, they shall end their dayes in prosperity, and their yeres in pleasures.
[GNV | EN | OT | Job | Chapter 36 | Verse 12] But if they wil not obey, they shall passe by the sworde, and perish without knowledge.
[GNV | EN | OT | Job | Chapter 36 | Verse 13] But the hypocrites of heart increase the wrath: for they call not when he bindeth them.
[GNV | EN | OT | Job | Chapter 36 | Verse 14] Their soule dyeth in youth, and their life among the whoremongers.
[GNV | EN | OT | Job | Chapter 36 | Verse 15] He deliuereth the poore in his affliction, and openeth their eare in trouble.
[GNV | EN | OT | Job | Chapter 36 | Verse 16] Euen so woulde he haue taken thee out of the streight place into a broade place and not shut vp beneath: and that which resteth vpon thy table, had bene full of fat.
[GNV | EN | OT | Job | Chapter 36 | Verse 17] But thou art ful of the iudgement of the wicked, though iudgement and equitie maintaine all things.
[GNV | EN | OT | Job | Chapter 36 | Verse 18] For Gods wrath is, least hee should take that away in thine abundance: for no multitude of giftes can deliuer thee.
[GNV | EN | OT | Job | Chapter 36 | Verse 19] Wil he regard thy riches? he regardeth not golde, nor all them that excel in strength.
[GNV | EN | OT | Job | Chapter 36 | Verse 20] Be not carefull in the night, howe he destroyeth the people out of their place.
[GNV | EN | OT | Job | Chapter 36 | Verse 21] Take thou heede: looke not to iniquitie: for thou hast chosen it rather then affliction.
[GNV | EN | OT | Job | Chapter 36 | Verse 22] Beholde, God exalteth by his power: what teacher is like him?
[GNV | EN | OT | Job | Chapter 36 | Verse 23] Who hath appointed to him his way? or who can say, Thou hast done wickedly?
[GNV | EN | OT | Job | Chapter 36 | Verse 24] Remember that thou magnifie his worke, which men behold.
[GNV | EN | OT | Job | Chapter 36 | Verse 25] All men see it, and men beholde it afarre off.
[GNV | EN | OT | Job | Chapter 36 | Verse 26] Beholde, God is excellent, and we knowe him not, neither can the nomber of his yeres bee searched out.
[GNV | EN | OT | Job | Chapter 36 | Verse 27] When he restraineth the droppes of water, the rayne powreth down by the vapour thereof,
[GNV | EN | OT | Job | Chapter 36 | Verse 28] Which raine the cloudes do droppe and let fall abundantly vpon man.
[GNV | EN | OT | Job | Chapter 36 | Verse 29] Who can know the diuisions of ye clouds and the thunders of his tabernacle?
[GNV | EN | OT | Job | Chapter 36 | Verse 30] Beholde, he spreadeth his light vpon it, and couereth the bottome of the sea.
[GNV | EN | OT | Job | Chapter 36 | Verse 31] For thereby hee iudgeth the people, and giueth meate abundantly.
[GNV | EN | OT | Job | Chapter 36 | Verse 32] He couereth the light with the clouds, and commandeth them to go against it.
[GNV | EN | OT | Job | Chapter 36 | Verse 33] His companion sheweth him thereof, and there is anger in rising vp.
