[GNV | EN | OT | Job | Chapter 20 | Verse 1] Then answered Zophar the Naamathite and saide,
[GNV | EN | OT | Job | Chapter 20 | Verse 2] Doubtlesse my thoughts cause me to answere, and therefore I make haste.
[GNV | EN | OT | Job | Chapter 20 | Verse 3] I haue heard the correction of my reproch: therefore the spirite of mine vnderstanding causeth me to answere.
[GNV | EN | OT | Job | Chapter 20 | Verse 4] Knowest thou not this of olde? and since God placed man vpon the earth,
[GNV | EN | OT | Job | Chapter 20 | Verse 5] That the reioycing of the wicked is short, and that the ioy of hypocrites is but a moment?
[GNV | EN | OT | Job | Chapter 20 | Verse 6] Though his excellencie mount vp to the heauen, and his head reache vnto the cloudes,
[GNV | EN | OT | Job | Chapter 20 | Verse 7] Yet shall hee perish for euer, like his dung, and they which haue seene him, shall say, Where is hee?
[GNV | EN | OT | Job | Chapter 20 | Verse 8] He shall flee away as a dreame, and they shall not finde him, and shall passe away as a vision of the night,
[GNV | EN | OT | Job | Chapter 20 | Verse 9] So that the eye which had seene him, shall do so no more, and his place shall see him no more.
[GNV | EN | OT | Job | Chapter 20 | Verse 10] His children shall flatter the poore, and his hands shall restore his substance.
[GNV | EN | OT | Job | Chapter 20 | Verse 11] His bones are full of the sinne of his youth, and it shall lie downe with him in the dust.
[GNV | EN | OT | Job | Chapter 20 | Verse 12] When wickednesse was sweete in his mouth, and he hid it vnder his tongue,
[GNV | EN | OT | Job | Chapter 20 | Verse 13] And fauoured it, and would not forsake it, but kept it close in his mouth,
[GNV | EN | OT | Job | Chapter 20 | Verse 14] Then his meat in his bowels was turned: the gall of Aspes was in the middes of him.
[GNV | EN | OT | Job | Chapter 20 | Verse 15] He hath deuoured substance, and hee shall vomit it: for God shall drawe it out of his bellie.
[GNV | EN | OT | Job | Chapter 20 | Verse 16] He shall sucke the gall of Aspes, and the vipers tongue shall slay him.
[GNV | EN | OT | Job | Chapter 20 | Verse 17] He shall not see the riuers, nor the floods and streames of honie and butter.
[GNV | EN | OT | Job | Chapter 20 | Verse 18] He shall restore the labour, and shall deuoure no more: euen according to the substance shalbe his exchange, and he shall enioy it no more.
[GNV | EN | OT | Job | Chapter 20 | Verse 19] For he hath vndone many: he hath forsaken the poore, and hath spoyled houses which he builded not.
[GNV | EN | OT | Job | Chapter 20 | Verse 20] Surely he shall feele no quietnes in his bodie, neither shall he reserue of that which he desired.
[GNV | EN | OT | Job | Chapter 20 | Verse 21] There shall none of his meate bee left: therefore none shall hope for his goods.
[GNV | EN | OT | Job | Chapter 20 | Verse 22] When he shalbe filled with his abundance, he shalbe in paine, and the hand of all the wicked shall assaile him.
[GNV | EN | OT | Job | Chapter 20 | Verse 23] He shall be about to fill his belly, but God shall sende vpon him his fierce wrath, and shall cause to rayne vpon him, euen vpon his meate.
[GNV | EN | OT | Job | Chapter 20 | Verse 24] He shall flee from the yron weapons, and the bow of steele shall strike him through.
[GNV | EN | OT | Job | Chapter 20 | Verse 25] The arrowe is drawen out, and commeth forth of the body, and shineth of his gall, so feare commeth vpon him.
[GNV | EN | OT | Job | Chapter 20 | Verse 26] All darkenes shalbe hid in his secret places: the fire that is not blowen, shall deuoure him, and that which remaineth in his tabernacle, shalbe destroyed.
[GNV | EN | OT | Job | Chapter 20 | Verse 27] The heauen shall declare his wickednes, and the earth shall rise vp against him.
[GNV | EN | OT | Job | Chapter 20 | Verse 28] The increase of his house shall go away: it shall flow away in the day of his wrath.
[GNV | EN | OT | Job | Chapter 20 | Verse 29] This is the portion of the wicked man from God, and the heritage that he shall haue of God for his wordes.
