[GNV | EN | OT | Job | Chapter 27 | Verse 1] Moreouer Iob proceeded and continued his parable, saying,
[GNV | EN | OT | Job | Chapter 27 | Verse 2] The liuing God hath taken away my iudgement: for the Almightie hath put my soule in bitternesse.
[GNV | EN | OT | Job | Chapter 27 | Verse 3] Yet so long as my breath is in me, and the Spirit of God in my nostrels,
[GNV | EN | OT | Job | Chapter 27 | Verse 4] My lips surely shall speake no wickednesse, and my tongue shall vtter no deceite.
[GNV | EN | OT | Job | Chapter 27 | Verse 5] God forbid, that I should iustifie you: vntill I dye, I will neuer take away mine innocencie from my selfe.
[GNV | EN | OT | Job | Chapter 27 | Verse 6] I will keepe my righteousnesse, and wil not forsake it: mine heart shall not reprooue me of my dayes.
[GNV | EN | OT | Job | Chapter 27 | Verse 7] Mine enemie shall be as the wicked, and he that riseth against me, as the vnrighteous.
[GNV | EN | OT | Job | Chapter 27 | Verse 8] For what hope hath the hypocrite when he hath heaped vp riches, if God take away his soule?
[GNV | EN | OT | Job | Chapter 27 | Verse 9] Will God heare his cry, when trouble commeth vpon him?
[GNV | EN | OT | Job | Chapter 27 | Verse 10] Will he set his delight on the Almightie? will he call vpon God at all times?
[GNV | EN | OT | Job | Chapter 27 | Verse 11] I will teache you what is in the hande of God, and I wil not conceale that which is with the Almightie.
[GNV | EN | OT | Job | Chapter 27 | Verse 12] Beholde, all ye your selues haue seene it: why then doe you thus vanish in vanitie?
[GNV | EN | OT | Job | Chapter 27 | Verse 13] This is the portion of a wicked man with God, and the heritage of tyrants, which they shall receiue of the Almightie.
[GNV | EN | OT | Job | Chapter 27 | Verse 14] If his children be in great nomber, the sworde shall destroy them, and his posteritie shall not be satisfied with bread.
[GNV | EN | OT | Job | Chapter 27 | Verse 15] His remnant shall be buried in death, and his widowes shall not weepe.
[GNV | EN | OT | Job | Chapter 27 | Verse 16] Though he shoulde heape vp siluer as the dust, and prepare rayment as the clay,
[GNV | EN | OT | Job | Chapter 27 | Verse 17] He may prepare it, but the iust shall put it on, and the innocent shall deuide the siluer.
[GNV | EN | OT | Job | Chapter 27 | Verse 18] He buildeth his house as the moth, and as a lodge that the watchman maketh.
[GNV | EN | OT | Job | Chapter 27 | Verse 19] When the rich man sleepeth, he shall not be gathered to his fathers: they opened their eyes, and he was gone.
[GNV | EN | OT | Job | Chapter 27 | Verse 20] Terrours shall take him as waters, and a tempest shall cary him away by night.
[GNV | EN | OT | Job | Chapter 27 | Verse 21] The East winde shall take him away, and he shall depart: and it shall hurle him out of his place.
[GNV | EN | OT | Job | Chapter 27 | Verse 22] And God shall cast vpon him and not spare, though he would faine flee out of his hand.
[GNV | EN | OT | Job | Chapter 27 | Verse 23] Euery man shall clap their hands at him, and hisse at him out of their place.
