[GNV | EN | OT | Job | Chapter 24 | Verse 1] Howe should not the times be hid from the Almightie, seeing that they which knowe him, see not his dayes?
[GNV | EN | OT | Job | Chapter 24 | Verse 2] Some remoue the land marks, that rob the flockes and feede thereof.
[GNV | EN | OT | Job | Chapter 24 | Verse 3] They leade away the asse of the fatherles: and take the widowes oxe to pledge.
[GNV | EN | OT | Job | Chapter 24 | Verse 4] They make the poore to turne out of the way, so that the poore of the earth hide themselues together.
[GNV | EN | OT | Job | Chapter 24 | Verse 5] Behold, others as wilde asses in the wildernesse, goe forth to their businesse, and rise early for a praye: the wildernesse giueth him and his children foode.
[GNV | EN | OT | Job | Chapter 24 | Verse 6] They reape his prouision in the fielde, but they gather the late vintage of the wicked.
[GNV | EN | OT | Job | Chapter 24 | Verse 7] They cause the naked to lodge without garment, and without couering in the colde.
[GNV | EN | OT | Job | Chapter 24 | Verse 8] They are wet with the showres of the moutaines, and they imbrace the rocke for want of a couering.
[GNV | EN | OT | Job | Chapter 24 | Verse 9] They plucke the fatherles from the breast, and take the pledge of the poore.
[GNV | EN | OT | Job | Chapter 24 | Verse 10] They cause him to go naked without clothing, and take the glening from the hungrie.
[GNV | EN | OT | Job | Chapter 24 | Verse 11] They that make oyle betweene their walles, and treade their wine presses, suffer thirst.
[GNV | EN | OT | Job | Chapter 24 | Verse 12] Men cry out of the citie, and the soules of the slayne cry out: yet God doth not charge them with follie.
[GNV | EN | OT | Job | Chapter 24 | Verse 13] These are they, that abhorre the light: they know not the wayes thereof, nor continue in the paths thereof.
[GNV | EN | OT | Job | Chapter 24 | Verse 14] The murtherer riseth earely and killeth the poore and the needie: and in the night he is as a theefe.
[GNV | EN | OT | Job | Chapter 24 | Verse 15] The eye also of the adulterer waiteth for the twilight, and sayth, None eye shall see me, and disguiseth his face.
[GNV | EN | OT | Job | Chapter 24 | Verse 16] They digge through houses in the darke, which they marked for themselues in the daye: they knowe not the light.
[GNV | EN | OT | Job | Chapter 24 | Verse 17] But the morning is euen to them as the shadow of death: if one knowe them, they are in the terrours of the shadowe of death.
[GNV | EN | OT | Job | Chapter 24 | Verse 18] He is swift vpon the waters: their portion shalbe cursed in the earth: he will not behold the way of the vineyardes.
[GNV | EN | OT | Job | Chapter 24 | Verse 19] As the dry ground and heate consume the snowe waters, so shall the graue the sinners.
[GNV | EN | OT | Job | Chapter 24 | Verse 20] The pitifull man shall forget him: the worme shall feele his sweetenes: he shalbe no more remembered, and the wicked shalbe broke like a tree.
[GNV | EN | OT | Job | Chapter 24 | Verse 21] He doth euil intreat ye barren, that doeth not beare, neither doeth he good to the widowe.
[GNV | EN | OT | Job | Chapter 24 | Verse 22] He draweth also the mighty by his power, and when he riseth vp, none is sure of life.
[GNV | EN | OT | Job | Chapter 24 | Verse 23] Though men giue him assurance to be in safetie, yet his eyes are vpon their wayes.
[GNV | EN | OT | Job | Chapter 24 | Verse 24] They are exalted for a litle, but they are gone, and are brought lowe as all others: they are destroyed, and cut off as the toppe of an eare of corne.
[GNV | EN | OT | Job | Chapter 24 | Verse 25] But if it be not so, where is he? or who wil proue me a lyer, and make my words of no value?
