[GNV | EN | OT | Job | Chapter 37 | Verse 1] At this also mine heart is astonied, and is mooued out of his place.
[GNV | EN | OT | Job | Chapter 37 | Verse 2] Heare the sound of his voyce, and the noyse that goeth out of his mouth.
[GNV | EN | OT | Job | Chapter 37 | Verse 3] He directeth it vnder the whole heauen, and his light vnto the endes of the world.
[GNV | EN | OT | Job | Chapter 37 | Verse 4] After it a noyse soundeth: hee thundereth with the voyce of his maiestie, and hee will not stay them when his voyce is heard.
[GNV | EN | OT | Job | Chapter 37 | Verse 5] God thundereth marueilously with his voyce: he worketh great things, which we know not.
[GNV | EN | OT | Job | Chapter 37 | Verse 6] For he sayth to the snowe, Be thou vpon the earth: likewise to the small rayne and to the great rayne of his power.
[GNV | EN | OT | Job | Chapter 37 | Verse 7] With the force thereof he shutteth vp euery man, that all men may knowe his worke.
[GNV | EN | OT | Job | Chapter 37 | Verse 8] Then the beastes go into the denne, and remaine in their places.
[GNV | EN | OT | Job | Chapter 37 | Verse 9] The whirlewind commeth out of the South, and the colde from the North winde.
[GNV | EN | OT | Job | Chapter 37 | Verse 10] At the breath of God the frost is giuen, and the breadth of the waters is made narrowe.
[GNV | EN | OT | Job | Chapter 37 | Verse 11] He maketh also the cloudes to labour, to water the earth, and scattereth the cloude of his light.
[GNV | EN | OT | Job | Chapter 37 | Verse 12] And it is turned about by his gouernment, that they may doe whatsoeuer he commandeth them vpon the whole worlde:
[GNV | EN | OT | Job | Chapter 37 | Verse 13] Whether it be for punishment, or for his lande, or of mercie, he causeth it to come.
[GNV | EN | OT | Job | Chapter 37 | Verse 14] Hearken vnto this, O Iob: stand and consider the wonderous workes of God.
[GNV | EN | OT | Job | Chapter 37 | Verse 15] Diddest thou knowe when God disposed them? and caused the light of his cloud to shine?
[GNV | EN | OT | Job | Chapter 37 | Verse 16] Hast thou knowen the varietie of the cloude, and the wonderous workes of him, that is perfite in knowledge?
[GNV | EN | OT | Job | Chapter 37 | Verse 17] Or howe thy clothes are warme, when he maketh the earth quiet through the South winde?
[GNV | EN | OT | Job | Chapter 37 | Verse 18] Hast thou stretched out the heaues, which are strong, and as a molten glasse?
[GNV | EN | OT | Job | Chapter 37 | Verse 19] Tell vs what we shall say vnto him: for we can not dispose our matter because of darknes.
[GNV | EN | OT | Job | Chapter 37 | Verse 20] Shall it be told him when I speake? or shall man speake when he shalbe destroyed?
[GNV | EN | OT | Job | Chapter 37 | Verse 21] And nowe men see not the light, which shineth in the cloudes, but the winde passeth and clenseth them.
[GNV | EN | OT | Job | Chapter 37 | Verse 22] The brightnesse commeth out of the North: the praise thereof is to God, which is terrible.
[GNV | EN | OT | Job | Chapter 37 | Verse 23] It is the Almightie: we can not finde him out: he is excellent in power and iudgement, and aboundant in iustice: he afflicteth not.
[GNV | EN | OT | Job | Chapter 37 | Verse 24] Let men therefore feare him: for he will not regarde any that are wise in their owne conceit.
