[GNV | EN | OT | Job | Chapter 32 | Verse 1] So these three men ceased to answere Iob, because he esteemed himselfe iust.
[GNV | EN | OT | Job | Chapter 32 | Verse 2] Then the wrath of Elihu the sonne of Barachel the Buzite, of the familie of Ram, was kindled: his wrath, I say, was kindled against Iob, because he iustified himselfe more then God.
[GNV | EN | OT | Job | Chapter 32 | Verse 3] Also his anger was kindled against his three friends, because they could not finde an answere, and yet condemned Iob.
[GNV | EN | OT | Job | Chapter 32 | Verse 4] (Now Elihu had wayted til Iob had spoken: for they were more ancient in yeeres then he)
[GNV | EN | OT | Job | Chapter 32 | Verse 5] So when Elihu saw, that there was none answere in the mouth of the three men, his wrath was kindled.
[GNV | EN | OT | Job | Chapter 32 | Verse 6] Therefore Elihu the sonne of Barachel, the Buzite answered, and sayd, I am yong in yeres, and ye are ancient: therefore I doubted, and was afraide to shewe you mine opinion.
[GNV | EN | OT | Job | Chapter 32 | Verse 7] For I said, The dayes shall speake, and the multitude of yeeres shall teach wisedome.
[GNV | EN | OT | Job | Chapter 32 | Verse 8] Surely there is a spirite in man, but the inspiration of the Almightie giueth vnderstanding.
[GNV | EN | OT | Job | Chapter 32 | Verse 9] Great men are not alway wise, neither doe the aged alway vnderstand iudgement.
[GNV | EN | OT | Job | Chapter 32 | Verse 10] Therefore I say, Heare me, and I will shew also mine opinion.
[GNV | EN | OT | Job | Chapter 32 | Verse 11] Behold, I did waite vpon your wordes, and hearkened vnto your knowledge, whiles you sought out reasons.
[GNV | EN | OT | Job | Chapter 32 | Verse 12] Yea, when I had considered you, lo, there was none of you that reproued Iob, nor answered his wordes:
[GNV | EN | OT | Job | Chapter 32 | Verse 13] Lest ye should say, We haue found wisedome: for God hath cast him downe, and no man.
[GNV | EN | OT | Job | Chapter 32 | Verse 14] Yet hath he not directed his words to me, neyther will I answere him by your wordes.
[GNV | EN | OT | Job | Chapter 32 | Verse 15] Then they fearing, answered no more, but left off their talke.
[GNV | EN | OT | Job | Chapter 32 | Verse 16] When I had wayted (for they spake not, but stood still and answered no more)
[GNV | EN | OT | Job | Chapter 32 | Verse 17] Then answered I in my turne, and I shewed mine opinion.
[GNV | EN | OT | Job | Chapter 32 | Verse 18] For I am full of matter, and the spirite within me compelleth me.
[GNV | EN | OT | Job | Chapter 32 | Verse 19] Beholde, my belly is as the wine, which hath no vent, and like the new bottels that brast.
[GNV | EN | OT | Job | Chapter 32 | Verse 20] Therefore will I speake, that I may take breath: I will open my lippes, and will answere.
[GNV | EN | OT | Job | Chapter 32 | Verse 21] I will not now accept the person of man, neyther will I giue titles to man.
[GNV | EN | OT | Job | Chapter 32 | Verse 22] For I may not giue titles, lest my Maker should take me away suddenly.
