[GNV | EN | OT | Job | Chapter 7 | Verse 1] Is there not an appointed time to man vpon earth? and are not his dayes as the dayes of an hyreling?
[GNV | EN | OT | Job | Chapter 7 | Verse 2] As a seruant longeth for the shadowe, and as an hyreling looketh for the ende of his worke,
[GNV | EN | OT | Job | Chapter 7 | Verse 3] So haue I had as an inheritance the moneths of vanitie, and painefull nights haue bene appointed vnto me.
[GNV | EN | OT | Job | Chapter 7 | Verse 4] If I layed me downe, I sayde, When shall I arise? and measuring the euening I am euen full with tossing to and from vnto the dawning of the day.
[GNV | EN | OT | Job | Chapter 7 | Verse 5] My flesh is clothed with wormes and filthinesse of the dust: my skinne is rent, and become horrible.
[GNV | EN | OT | Job | Chapter 7 | Verse 6] My dayes are swifter then a weauers shittle, and they are spent without hope.
[GNV | EN | OT | Job | Chapter 7 | Verse 7] Remember that my life is but a wind, and that mine eye shall not returne to see pleasure.
[GNV | EN | OT | Job | Chapter 7 | Verse 8] The eye that hath seene me, shall see me no more: thine eyes are vpon me, and I shall be no longer.
[GNV | EN | OT | Job | Chapter 7 | Verse 9] As the cloude vanisheth and goeth away, so he that goeth downe to the graue, shall come vp no more.
[GNV | EN | OT | Job | Chapter 7 | Verse 10] He shall returne no more to his house, neither shall his place knowe him any more.
[GNV | EN | OT | Job | Chapter 7 | Verse 11] Therefore I will not spare my mouth, but will speake in the trouble of my spirite, and muse in the bitternesse of my minde.
[GNV | EN | OT | Job | Chapter 7 | Verse 12] Am I a sea or a whalefish, that thou keepest me in warde?
[GNV | EN | OT | Job | Chapter 7 | Verse 13] When I say, My couch shall relieue me, and my bed shall bring comfort in my meditation,
[GNV | EN | OT | Job | Chapter 7 | Verse 14] Then fearest thou me with dreames, and astonishest me with visions.
[GNV | EN | OT | Job | Chapter 7 | Verse 15] Therefore my soule chuseth rather to be strangled and to die, then to be in my bones.
[GNV | EN | OT | Job | Chapter 7 | Verse 16] I abhorre it, I shall not liue alway: spare me then, for my dayes are but vanitie.
[GNV | EN | OT | Job | Chapter 7 | Verse 17] What is man, that thou doest magnifie him, and that thou settest thine heart vpon him?
[GNV | EN | OT | Job | Chapter 7 | Verse 18] And doest visite him euery morning, and tryest him euery moment?
[GNV | EN | OT | Job | Chapter 7 | Verse 19] Howe long will it be yer thou depart from me? thou wilt not let me alone whiles I may swallowe my spettle.
[GNV | EN | OT | Job | Chapter 7 | Verse 20] I haue sinned, what shall I do vnto thee? O thou preseruer of me, why hast thou set me as a marke against thee, so that I am a burden vnto my selfe?
[GNV | EN | OT | Job | Chapter 7 | Verse 21] And why doest thou not pardon my trespasse? and take away mine iniquitie? for nowe shall I sleepe in the dust, and if thou seekest me in the morning, I shall not be found.
