[GNV | EN | OT | Job | Chapter 26 | Verse 1] Bvt Iob answered, and sayde,
[GNV | EN | OT | Job | Chapter 26 | Verse 2] Whom helpest thou? him that hath no power? sauest thou the arme that hath no strength?
[GNV | EN | OT | Job | Chapter 26 | Verse 3] Whome counsellest thou? him that hath no wisedome? thou shewest right well as the thing is.
[GNV | EN | OT | Job | Chapter 26 | Verse 4] To whom doest thou declare these words? or whose spirit commeth out of thee?
[GNV | EN | OT | Job | Chapter 26 | Verse 5] The dead things are formed vnder the waters, and neere vnto them.
[GNV | EN | OT | Job | Chapter 26 | Verse 6] The graue is naked before him, and there is no couering for destruction.
[GNV | EN | OT | Job | Chapter 26 | Verse 7] He stretcheth out the North ouer the emptie place, and hangeth the earth vpon nothing.
[GNV | EN | OT | Job | Chapter 26 | Verse 8] He bindeth the waters in his cloudes, and the cloude is not broken vnder them.
[GNV | EN | OT | Job | Chapter 26 | Verse 9] He holdeth backe the face of his throne: and spreadeth his cloude vpon it.
[GNV | EN | OT | Job | Chapter 26 | Verse 10] He hath set bounds about the waters, vntil the day and night come to an ende.
[GNV | EN | OT | Job | Chapter 26 | Verse 11] The pillars of heauen tremble and quake at his reproofe.
[GNV | EN | OT | Job | Chapter 26 | Verse 12] The sea is calme by his power, and by his vnderstanding he smiteth the pride thereof.
[GNV | EN | OT | Job | Chapter 26 | Verse 13] His Spirite hath garnished the heauens, and his hand hath formed the crooked serpent.
[GNV | EN | OT | Job | Chapter 26 | Verse 14] Loe, these are part of his wayes: but how litle a portion heare we of him? and who can vnderstand his fearefull power?
