[GNV | EN | OT | Job | Chapter 11 | Verse 1] Then answered Zophar the Naamathite, and sayde,
[GNV | EN | OT | Job | Chapter 11 | Verse 2] Should not the multitude of wordes be answered? or should a great talker be iustified?
[GNV | EN | OT | Job | Chapter 11 | Verse 3] Should men holde their peace at thy lyes? and when thou mockest others, shall none make thee ashamed?
[GNV | EN | OT | Job | Chapter 11 | Verse 4] For thou hast sayde, My doctrine is pure, and I am cleane in thine eyes.
[GNV | EN | OT | Job | Chapter 11 | Verse 5] But, oh that God would speake and open his lippes against thee!
[GNV | EN | OT | Job | Chapter 11 | Verse 6] That he might shewe thee the secretes of wisedome, howe thou hast deserued double, according to right: know therefore that God hath forgotten thee for thine iniquitie.
[GNV | EN | OT | Job | Chapter 11 | Verse 7] Canst thou by searching finde out God? canst thou finde out ye Almighty to his perfection?
[GNV | EN | OT | Job | Chapter 11 | Verse 8] The heauens are hie, what canst thou doe? it is deeper then the hell, how canst thou know it?
[GNV | EN | OT | Job | Chapter 11 | Verse 9] The measure thereof is longer then the earth, and it is broader then the sea.
[GNV | EN | OT | Job | Chapter 11 | Verse 10] If hee cut off and shut vp, or gather together, who can turne him backe?
[GNV | EN | OT | Job | Chapter 11 | Verse 11] For hee knoweth vaine men, and seeth iniquitie, and him that vnderstandeth nothing.
[GNV | EN | OT | Job | Chapter 11 | Verse 12] Yet vaine man would be wise, though man new borne is like a wilde asse colte.
[GNV | EN | OT | Job | Chapter 11 | Verse 13] If thou prepare thine heart, and stretch out thine hands toward him:
[GNV | EN | OT | Job | Chapter 11 | Verse 14] If iniquitie be in thine hand, put it farre away, and let no wickednesse dwell in thy Tabernacle.
[GNV | EN | OT | Job | Chapter 11 | Verse 15] The truely shalt thou lift vp thy face without spot, and shalt be stable, and shalt not feare.
[GNV | EN | OT | Job | Chapter 11 | Verse 16] But thou shalt forget thy miserie, and remember it as waters that are past.
[GNV | EN | OT | Job | Chapter 11 | Verse 17] Thine age also shall appeare more cleare then the noone day: thou shalt shine and bee as the morning.
[GNV | EN | OT | Job | Chapter 11 | Verse 18] And thou shalt bee bolde, because there is hope: and thou shalt digge pittes, and shalt lye downe safely.
[GNV | EN | OT | Job | Chapter 11 | Verse 19] For when thou takest thy rest, none shall make thee afraide: yea, many shall make sute vnto thee.
[GNV | EN | OT | Job | Chapter 11 | Verse 20] But the eyes of the wicked shall faile, and their refuge shall perish, and their hope shalbe sorow of minde.
