[GNV | EN | OT | Job | Chapter 29 | Verse 1] So Iob proceeded and continued his parable, saying,
[GNV | EN | OT | Job | Chapter 29 | Verse 2] Oh that I were as in times past, when God preserued me!
[GNV | EN | OT | Job | Chapter 29 | Verse 3] When his light shined vpon mine head: and when by his light I walked thorowe the darkenesse,
[GNV | EN | OT | Job | Chapter 29 | Verse 4] As I was in the dayes of my youth: when Gods prouidence was vpon my tabernacle:
[GNV | EN | OT | Job | Chapter 29 | Verse 5] When the almightie was yet with me, and my children round about me.
[GNV | EN | OT | Job | Chapter 29 | Verse 6] When I washed my pathes with butter, and when the rocke powred me out riuers of oyle:
[GNV | EN | OT | Job | Chapter 29 | Verse 7] When I went out to the gate, euen to the iudgement seat, and when I caused them to prepare my seate in the streete.
[GNV | EN | OT | Job | Chapter 29 | Verse 8] The yong men saw me, and hid themselues, and the aged arose, and stood vp.
[GNV | EN | OT | Job | Chapter 29 | Verse 9] The princes stayed talke, and layde their hand on their mouth.
[GNV | EN | OT | Job | Chapter 29 | Verse 10] The voyce of princes was hidde, and their tongue cleaued to the roofe of their mouth.
[GNV | EN | OT | Job | Chapter 29 | Verse 11] And when the eare heard me, it blessed me: and when the eye sawe me, it gaue witnesse to me.
[GNV | EN | OT | Job | Chapter 29 | Verse 12] For I deliuered the poore that cryed, and the fatherlesse, and him that had none to helpe him.
[GNV | EN | OT | Job | Chapter 29 | Verse 13] The blessing of him that was ready to perish, came vpon me, and I caused the widowes heart to reioyce.
[GNV | EN | OT | Job | Chapter 29 | Verse 14] I put on iustice, and it couered me: my iudgement was as a robe, and a crowne.
[GNV | EN | OT | Job | Chapter 29 | Verse 15] I was the eyes to the blinde, and I was the feete to the lame.
[GNV | EN | OT | Job | Chapter 29 | Verse 16] I was a father vnto the poore, and when I knewe not the cause, I sought it out diligently.
[GNV | EN | OT | Job | Chapter 29 | Verse 17] I brake also the chawes of the vnrighteous man, and pluckt the praye out of his teeth.
[GNV | EN | OT | Job | Chapter 29 | Verse 18] Then I sayde, I shall die in my nest, and I shall multiplie my dayes as the sand.
[GNV | EN | OT | Job | Chapter 29 | Verse 19] For my roote is spread out by the water, and the dewe shall lye vpon my branche.
[GNV | EN | OT | Job | Chapter 29 | Verse 20] My glory shall renue towarde me, and my bowe shall be restored in mine hand.
[GNV | EN | OT | Job | Chapter 29 | Verse 21] Vnto me men gaue eare, and wayted, and helde their tongue at my counsell.
[GNV | EN | OT | Job | Chapter 29 | Verse 22] After my wordes they replied not, and my talke dropped vpon them.
[GNV | EN | OT | Job | Chapter 29 | Verse 23] And they wayted for me, as for the raine, and they opened their mouth as for the latter rayne.
[GNV | EN | OT | Job | Chapter 29 | Verse 24] If I laughed on them, they beleeued it not: neither did they cause the light of my countenance to fall.
[GNV | EN | OT | Job | Chapter 29 | Verse 25] I appoynted out their way, and did sit as chiefe, and dwelt as a King in the army, and like him that comforteth the mourners.
