[GNV | EN | OT | Job | Chapter 31 | Verse 1] I made a couenant with mine eyes: why then should I thinke on a mayde?
[GNV | EN | OT | Job | Chapter 31 | Verse 2] For what portion should I haue of God from aboue? and what inheritance of the Almightie from on hie?
[GNV | EN | OT | Job | Chapter 31 | Verse 3] Is not destruction to the wicked and strange punishment to the workers of iniquitie?
[GNV | EN | OT | Job | Chapter 31 | Verse 4] Doeth not he beholde my wayes and tell all my steps?
[GNV | EN | OT | Job | Chapter 31 | Verse 5] If I haue walked in vanitie, or if my foote hath made haste to deceite,
[GNV | EN | OT | Job | Chapter 31 | Verse 6] Let God weigh me in the iust balance, and he shall know mine vprightnes.
[GNV | EN | OT | Job | Chapter 31 | Verse 7] If my steppe hath turned out of the way, or mine heart hath walked after mine eye, or if any blot hath cleaued to mine handes,
[GNV | EN | OT | Job | Chapter 31 | Verse 8] Let me sowe, and let another eate: yea, let my plantes be rooted out.
[GNV | EN | OT | Job | Chapter 31 | Verse 9] If mine heart hath bene deceiued by a woman, or if I haue layde wayte at the doore of my neighbour,
[GNV | EN | OT | Job | Chapter 31 | Verse 10] Let my wife grinde vnto another man, and let other men bow downe vpon her:
[GNV | EN | OT | Job | Chapter 31 | Verse 11] For this is a wickednes, and iniquitie to bee condemned:
[GNV | EN | OT | Job | Chapter 31 | Verse 12] Yea, this is a fire that shall deuoure to destruction, and which shall roote out al mine increase,
[GNV | EN | OT | Job | Chapter 31 | Verse 13] If I did contemne the iudgement of my seruant, and of my mayde, when they did contend with me,
[GNV | EN | OT | Job | Chapter 31 | Verse 14] What then shall I do when God standeth vp? and when he shall visit me, what shall I answere?
[GNV | EN | OT | Job | Chapter 31 | Verse 15] He that hath made me in the wombe, hath he not made him? hath not he alone facioned vs in the wombe?
[GNV | EN | OT | Job | Chapter 31 | Verse 16] If I restrained the poore of their desire, or haue caused the eyes of the widow to faile,
[GNV | EN | OT | Job | Chapter 31 | Verse 17] Or haue eaten my morsels alone, and the fatherles hath not eaten thereof,
[GNV | EN | OT | Job | Chapter 31 | Verse 18] (For from my youth hee hath growen vp with me as with a father, and from my mothers wombe I haue bene a guide vnto her)
[GNV | EN | OT | Job | Chapter 31 | Verse 19] If I haue seene any perish for want of clothing, or any poore without couering,
[GNV | EN | OT | Job | Chapter 31 | Verse 20] If his loynes haue not blessed me, because he was warmed with the fleece of my sheepe,
[GNV | EN | OT | Job | Chapter 31 | Verse 21] If I haue lift vp mine hande against the fatherlesse, when I saw that I might helpe him in the gate,
[GNV | EN | OT | Job | Chapter 31 | Verse 22] Let mine arme fal from my shoulder, and mine arme be broken from the bone.
[GNV | EN | OT | Job | Chapter 31 | Verse 23] For Gods punishment was fearefull vnto me, and I could not be deliuered from his highnes.
[GNV | EN | OT | Job | Chapter 31 | Verse 24] If I made gold mine hope, or haue sayd to the wedge of golde, Thou art my confidence,
[GNV | EN | OT | Job | Chapter 31 | Verse 25] If I reioyced because my substance was great, or because mine hand had gotten much,
[GNV | EN | OT | Job | Chapter 31 | Verse 26] If I did behold the sunne, when it shined, or the moone, walking in her brightnes,
[GNV | EN | OT | Job | Chapter 31 | Verse 27] If mine heart did flatter me in secrete, or if my mouth did kisse mine hand,
[GNV | EN | OT | Job | Chapter 31 | Verse 28] (This also had bene an iniquitie to be condemned: for I had denied the God aboue)
[GNV | EN | OT | Job | Chapter 31 | Verse 29] If I reioyced at his destruction that hated me, or was mooued to ioye when euill came vpon him,
[GNV | EN | OT | Job | Chapter 31 | Verse 30] Neither haue I suffred my mouth to sinne, by wishing a curse vnto his soule.
[GNV | EN | OT | Job | Chapter 31 | Verse 31] Did not the men of my Tabernacle say, Who shall giue vs of his flesh? we can not bee satisfied.
[GNV | EN | OT | Job | Chapter 31 | Verse 32] The stranger did not lodge in the streete, but I opened my doores vnto him, that went by the way.
[GNV | EN | OT | Job | Chapter 31 | Verse 33] If I haue hid my sinne, as Adam, concealing mine iniquitie in my bosome,
[GNV | EN | OT | Job | Chapter 31 | Verse 34] Though I could haue made afraid a great multitude, yet the most contemptible of the families did feare me: so I kept silence, and went not out of the doore.
[GNV | EN | OT | Job | Chapter 31 | Verse 35] Oh that I had some to heare me! beholde my signe that the Almightie will witnesse for me: though mine aduersary should write a booke against me,
[GNV | EN | OT | Job | Chapter 31 | Verse 36] Woulde not I take it vpon my shoulder, and binde it as a crowne vnto me?
[GNV | EN | OT | Job | Chapter 31 | Verse 37] I will tell him the nomber of my goings, and goe vnto him as to a prince.
[GNV | EN | OT | Job | Chapter 31 | Verse 38] If my lande cry against me, or the furrowes thereof complayne together,
[GNV | EN | OT | Job | Chapter 31 | Verse 39] If I haue eaten the fruites thereof without siluer: or if I haue grieued the soules of the masters thereof,
[GNV | EN | OT | Job | Chapter 31 | Verse 40] Let thistles growe in steade of wheate, and cockle in the stead of Barley. The wordes of Iob are ended.
