[GNV | EN | OT | Job | Chapter 21 | Verse 1] Bvt Iob answered, and sayd,
[GNV | EN | OT | Job | Chapter 21 | Verse 2] Heare diligently my wordes, and this shalbe in stead of your consolations.
[GNV | EN | OT | Job | Chapter 21 | Verse 3] Suffer mee, that I may speake, and when I haue spoken, mocke on.
[GNV | EN | OT | Job | Chapter 21 | Verse 4] Doe I direct my talke to man? If it were so, how should not my spirit be troubled?
[GNV | EN | OT | Job | Chapter 21 | Verse 5] Marke mee, and be abashed, and lay your hand vpon your mouth.
[GNV | EN | OT | Job | Chapter 21 | Verse 6] Euen when I remember, I am afrayde, and feare taketh hold on my flesh.
[GNV | EN | OT | Job | Chapter 21 | Verse 7] Wherefore do the wicked liue, and waxe olde, and grow in wealth?
[GNV | EN | OT | Job | Chapter 21 | Verse 8] Their seede is established in their sight with them, and their generation before their eyes.
[GNV | EN | OT | Job | Chapter 21 | Verse 9] Their houses are peaceable without feare, and the rod of God is not vpon them.
[GNV | EN | OT | Job | Chapter 21 | Verse 10] Their bullocke gendreth, and fayleth not: their cow calueth, and casteth not her calfe.
[GNV | EN | OT | Job | Chapter 21 | Verse 11] They send forth their children like sheepe, and their sonnes dance.
[GNV | EN | OT | Job | Chapter 21 | Verse 12] They take the tabret and harpe, and reioyce in the sound of the organs.
[GNV | EN | OT | Job | Chapter 21 | Verse 13] They spend their dayes in wealth, and suddenly they go downe to the graue.
[GNV | EN | OT | Job | Chapter 21 | Verse 14] They say also vnto God, Depart from vs: for we desire not the knowledge of thy wayes.
[GNV | EN | OT | Job | Chapter 21 | Verse 15] Who is the Almightie, that we should serue him? and what profit should we haue, if we should pray vnto him?
[GNV | EN | OT | Job | Chapter 21 | Verse 16] Lo, their wealth is not in their hand: therfore let the counsell of the wicked bee farre from me.
[GNV | EN | OT | Job | Chapter 21 | Verse 17] How oft shall the candle of the wicked be put out? and their destruction come vpon them? he wil deuide their liues in his wrath.
[GNV | EN | OT | Job | Chapter 21 | Verse 18] They shall be as stubble before the winde, and as chaffe that the storme carieth away.
[GNV | EN | OT | Job | Chapter 21 | Verse 19] God wil lay vp the sorowe of the father for his children: when he rewardeth him, hee shall knowe it.
[GNV | EN | OT | Job | Chapter 21 | Verse 20] His eyes shall see his destruction, and he shall drinke of the wrath of the Almightie.
[GNV | EN | OT | Job | Chapter 21 | Verse 21] For what pleasure hath he in his house after him, when the nomber of his moneths is cut off?
[GNV | EN | OT | Job | Chapter 21 | Verse 22] Shall any teache God knowledge, who iudgeth the highest things?
[GNV | EN | OT | Job | Chapter 21 | Verse 23] One dyeth in his full strength, being in all ease and prosperitie.
[GNV | EN | OT | Job | Chapter 21 | Verse 24] His breasts are full of milke, and his bones runne full of marowe.
[GNV | EN | OT | Job | Chapter 21 | Verse 25] And another dieth in the bitternes of his soule, and neuer eateth with pleasure.
[GNV | EN | OT | Job | Chapter 21 | Verse 26] They shall sleepe both in the dust, and the wormes shall couer them.
[GNV | EN | OT | Job | Chapter 21 | Verse 27] Behold, I know your thoughts, and the enterprises, wherewith ye do me wrong.
[GNV | EN | OT | Job | Chapter 21 | Verse 28] For ye say, Where is the princes house? and where is the tabernacle of the wickeds dwelling?
[GNV | EN | OT | Job | Chapter 21 | Verse 29] May ye not aske the that go by the way? and ye can not deny their signes.
[GNV | EN | OT | Job | Chapter 21 | Verse 30] But the wicked is kept vnto the day of destruction, and they shall be brought forth to the day of wrath.
[GNV | EN | OT | Job | Chapter 21 | Verse 31] Who shall declare his way to his face? and who shall reward him for that he hath done?
[GNV | EN | OT | Job | Chapter 21 | Verse 32] Yet shall he be brought to the graue, and remaine in the heape.
[GNV | EN | OT | Job | Chapter 21 | Verse 33] The slimie valley shalbe sweete vnto him, and euery man shall draw after him, as before him there were innumerable.
[GNV | EN | OT | Job | Chapter 21 | Verse 34] How then comfort ye me in vaine, seeing in your answeres there remaine but lyes?
