[GNV | EN | OT | Job | Chapter 33 | Verse 1] Wherefore, Iob, I pray thee, heare my talke and hearken vnto all my wordes.
[GNV | EN | OT | Job | Chapter 33 | Verse 2] Beholde now, I haue opened my mouth: my tongue hath spoken in my mouth.
[GNV | EN | OT | Job | Chapter 33 | Verse 3] My words are in the vprightnesse of mine heart, and my lippes shall speake pure knowledge.
[GNV | EN | OT | Job | Chapter 33 | Verse 4] The Spirite of God hath made me, and the breath of the Almightie hath giuen me life.
[GNV | EN | OT | Job | Chapter 33 | Verse 5] If thou canst giue me answere, prepare thy selfe and stand before me.
[GNV | EN | OT | Job | Chapter 33 | Verse 6] Beholde, I am according to thy wish in Gods stead: I am also formed of the clay.
[GNV | EN | OT | Job | Chapter 33 | Verse 7] Beholde, my terrour shall not feare thee, neither shall mine hand be heauie vpon thee.
[GNV | EN | OT | Job | Chapter 33 | Verse 8] Doubtles thou hast spoken in mine eares, and I haue heard the voyce of thy wordes.
[GNV | EN | OT | Job | Chapter 33 | Verse 9] I am cleane, without sinne: I am innocent, and there is none iniquitie in me.
[GNV | EN | OT | Job | Chapter 33 | Verse 10] Lo, he hath found occasions against me, and counted me for his enemie.
[GNV | EN | OT | Job | Chapter 33 | Verse 11] He hath put my feete in the stockes, and looketh narrowly vnto all my paths.
[GNV | EN | OT | Job | Chapter 33 | Verse 12] Behold, in this hast thou not done right: I will answere thee, that God is greater then man.
[GNV | EN | OT | Job | Chapter 33 | Verse 13] Why doest thou striue against him? for he doeth not giue account of all his matters.
[GNV | EN | OT | Job | Chapter 33 | Verse 14] For God speaketh once or twise, and one seeth it not.
[GNV | EN | OT | Job | Chapter 33 | Verse 15] In dreames and visions of the night, when sleepe falleth vpon men, and they sleepe vpon their beds,
[GNV | EN | OT | Job | Chapter 33 | Verse 16] Then he openeth the eares of men, euen by their corrections, which he had sealed,
[GNV | EN | OT | Job | Chapter 33 | Verse 17] That he might cause man to turne away from his enterprise, and that he might hide the pride of man,
[GNV | EN | OT | Job | Chapter 33 | Verse 18] And keepe backe his soule from the pit, and that his life should not passe by the sword.
[GNV | EN | OT | Job | Chapter 33 | Verse 19] He is also striken with sorow vpon his bed, and the griefe of his bones is sore,
[GNV | EN | OT | Job | Chapter 33 | Verse 20] So that his life causeth him to abhorre bread, and his soule daintie meate.
[GNV | EN | OT | Job | Chapter 33 | Verse 21] His flesh faileth that it can not be seene, and his bones which were not seene, clatter.
[GNV | EN | OT | Job | Chapter 33 | Verse 22] So his soule draweth to the graue, and his life to the buriers.
[GNV | EN | OT | Job | Chapter 33 | Verse 23] If there be a messenger with him, or an interpreter, one of a thousand to declare vnto man his righteousnesse,
[GNV | EN | OT | Job | Chapter 33 | Verse 24] Then will he haue mercie vpon him, and will say, Deliuer him, that he go not downe into the pit: for I haue receiued a reconciliation.
[GNV | EN | OT | Job | Chapter 33 | Verse 25] Then shall his flesh be as fresh as a childes, and shall returne as in the dayes of his youth.
[GNV | EN | OT | Job | Chapter 33 | Verse 26] He shall pray vnto God, and he will be fauourable vnto him, and he shall see his face with ioy: for he will render vnto man his righteousnes.
[GNV | EN | OT | Job | Chapter 33 | Verse 27] He looketh vpon men, and if one say, I haue sinned, and peruerted righteousnesse, and it did not profite me,
[GNV | EN | OT | Job | Chapter 33 | Verse 28] He will deliuer his soule from going into the pit, and his life shall see the light.
[GNV | EN | OT | Job | Chapter 33 | Verse 29] Lo, all these things will God worke twise or thrise with a man,
[GNV | EN | OT | Job | Chapter 33 | Verse 30] That he may turne backe his soule from the pit, to be illuminate in the light of the liuing.
[GNV | EN | OT | Job | Chapter 33 | Verse 31] Marke well, O Iob, and heare me: keepe silence, and I will speake.
[GNV | EN | OT | Job | Chapter 33 | Verse 32] If there be matter, answere me, and speak: for I desire to iustifie thee.
[GNV | EN | OT | Job | Chapter 33 | Verse 33] If thou hast not, heare me: holde thy tongue, and I will teach thee wisedome.
