[GNV | EN | OT | Job | Chapter 18 | Verse 1] Then answered Bildad the Shuhite, and said,
[GNV | EN | OT | Job | Chapter 18 | Verse 2] When will yee make an ende of your words? cause vs to vnderstande, and then wee will speake.
[GNV | EN | OT | Job | Chapter 18 | Verse 3] Wherefore are wee counted as beastes, and are vile in your sight?
[GNV | EN | OT | Job | Chapter 18 | Verse 4] Thou art as one that teareth his soule in his anger. Shall the earth bee forsaken for thy sake? or the rocke remoued out of his place?
[GNV | EN | OT | Job | Chapter 18 | Verse 5] Yea, the light of the wicked shalbe quenched, and the sparke of his fire shall not shine.
[GNV | EN | OT | Job | Chapter 18 | Verse 6] The light shalbe darke in his dwelling, and his candle shalbe put out with him.
[GNV | EN | OT | Job | Chapter 18 | Verse 7] The steps of his strength shalbe restrained, and his owne counsell shall cast him downe.
[GNV | EN | OT | Job | Chapter 18 | Verse 8] For hee is taken in the net by his feete, and he walketh vpon the snares.
[GNV | EN | OT | Job | Chapter 18 | Verse 9] The grenne shall take him by the heele, and the theefe shall come vpon him.
[GNV | EN | OT | Job | Chapter 18 | Verse 10] A snare is layed for him in the ground, and a trappe for him in the way.
[GNV | EN | OT | Job | Chapter 18 | Verse 11] Fearefulnesse shall make him afrayde on euery side, and shall driue him to his feete.
[GNV | EN | OT | Job | Chapter 18 | Verse 12] His strength shalbe famine: and destruction shalbe readie at his side.
[GNV | EN | OT | Job | Chapter 18 | Verse 13] It shall deuoure the inner partes of his skinne, and the first borne of death shall deuoure his strength.
[GNV | EN | OT | Job | Chapter 18 | Verse 14] His hope shalbe rooted out of his dwelling, and shall cause him to go to the King of feare.
[GNV | EN | OT | Job | Chapter 18 | Verse 15] Feare shall dwell in his house (because it is not his) and brimstone shalbe scattered vpon his habitation.
[GNV | EN | OT | Job | Chapter 18 | Verse 16] His rootes shalbe dryed vp beneath, and aboue shall his branche be cut downe.
[GNV | EN | OT | Job | Chapter 18 | Verse 17] His remembrance shall perish from the earth, and he shall haue no name in the streete.
[GNV | EN | OT | Job | Chapter 18 | Verse 18] They shall driue him out of the light vnto darkenesse, and chase him out of the world.
[GNV | EN | OT | Job | Chapter 18 | Verse 19] Hee shall neither haue sonne nor nephewe among his people, nor any posteritie in his dwellings.
[GNV | EN | OT | Job | Chapter 18 | Verse 20] The posteritie shalbe astonied at his day, and feare shall come vpon the ancient.
[GNV | EN | OT | Job | Chapter 18 | Verse 21] Surely such are the habitations of the wicked, and this is the place of him that knoweth not God.
