[GNV | EN | OT | Job | Chapter 17 | Verse 1] My breath is corrupt: my dayes are cut off, and the graue is readie for me.
[GNV | EN | OT | Job | Chapter 17 | Verse 2] There are none but mockers with mee, and mine eye continueth in their bitternesse.
[GNV | EN | OT | Job | Chapter 17 | Verse 3] Lay downe nowe and put me in suretie for thee: who is hee, that will touch mine hand?
[GNV | EN | OT | Job | Chapter 17 | Verse 4] For thou hast hid their heart from vnderstanding: therefore shalt thou not set them vp on hie.
[GNV | EN | OT | Job | Chapter 17 | Verse 5] For the eyes of his children shall faile, that speaketh flattery to his friends.
[GNV | EN | OT | Job | Chapter 17 | Verse 6] Hee hath also made mee a byword of the people, and I am as a Tabret before them.
[GNV | EN | OT | Job | Chapter 17 | Verse 7] Mine eye therefore is dimme for griefe, and all my strength is like a shadowe.
[GNV | EN | OT | Job | Chapter 17 | Verse 8] The righteous shalbe astonied at this, and the innocent shalbe moued against ye hypocrite.
[GNV | EN | OT | Job | Chapter 17 | Verse 9] But the righteous wil holde his way, and he whose hands are pure, shall increase his strength.
[GNV | EN | OT | Job | Chapter 17 | Verse 10] All you therefore turne you, and come nowe, and I shall not finde one wise among you.
[GNV | EN | OT | Job | Chapter 17 | Verse 11] My dayes are past, mine enterprises are broken, and the thoughts of mine heart
[GNV | EN | OT | Job | Chapter 17 | Verse 12] Haue changed the nyght for the day, and the light that approched, for darkenesse.
[GNV | EN | OT | Job | Chapter 17 | Verse 13] Though I hope, yet the graue shall bee mine house, and I shall make my bed in the darke.
[GNV | EN | OT | Job | Chapter 17 | Verse 14] I shall say to corruption, Thou art my father, and to the worme, Thou art my mother and my sister.
[GNV | EN | OT | Job | Chapter 17 | Verse 15] Where is then now mine hope? or who shall consider the thing, that I hoped for?
[GNV | EN | OT | Job | Chapter 17 | Verse 16] They shall goe downe into the bottome of the pit: surely it shall lye together in the dust.
