[GNV | EN | OT | Job | Chapter 30 | Verse 1] Bvt now they that are yonger then I, mocke me: yea, they whose fathers I haue refused to set with the dogges of my flockes.
[GNV | EN | OT | Job | Chapter 30 | Verse 2] For whereto shoulde the strength of their handes haue serued mee, seeing age perished in them?
[GNV | EN | OT | Job | Chapter 30 | Verse 3] For pouertie and famine they were solitary, fleeing into the wildernes, which is darke, desolate and waste.
[GNV | EN | OT | Job | Chapter 30 | Verse 4] They cut vp nettels by the bushes, and the iuniper rootes was their meate.
[GNV | EN | OT | Job | Chapter 30 | Verse 5] They were chased forth from among men: they shouted at them, as at a theefe.
[GNV | EN | OT | Job | Chapter 30 | Verse 6] Therfore they dwelt in the clefts of riuers, in the holes of the earth and rockes.
[GNV | EN | OT | Job | Chapter 30 | Verse 7] They roared among the bushes, and vnder the thistles they gathered themselues.
[GNV | EN | OT | Job | Chapter 30 | Verse 8] They were the children of fooles and the children of villaines, which were more vile then the earth.
[GNV | EN | OT | Job | Chapter 30 | Verse 9] And now am I their song, and I am their talke.
[GNV | EN | OT | Job | Chapter 30 | Verse 10] They abhorre me, and flee farre from mee, and spare not to spit in my face.
[GNV | EN | OT | Job | Chapter 30 | Verse 11] Because that God hath loosed my corde and humbled mee, they haue loosed the bridle before me.
[GNV | EN | OT | Job | Chapter 30 | Verse 12] The youth rise vp at my right hand: they haue pusht my feete, and haue trode on me as on the paths of their destruction.
[GNV | EN | OT | Job | Chapter 30 | Verse 13] They haue destroyed my paths: they tooke pleasure at my calamitie, they had none helpe.
[GNV | EN | OT | Job | Chapter 30 | Verse 14] They came as a great breach of waters, and vnder this calamitie they come on heapes.
[GNV | EN | OT | Job | Chapter 30 | Verse 15] Feare is turned vpon mee: and they pursue my soule as the winde, and mine health passeth away as a cloude.
[GNV | EN | OT | Job | Chapter 30 | Verse 16] Therefore my soule is nowe powred out vpon me, and the dayes of affliction haue taken holde on me.
[GNV | EN | OT | Job | Chapter 30 | Verse 17] It pearceth my bones in the night, and my sinewes take no rest.
[GNV | EN | OT | Job | Chapter 30 | Verse 18] For the great vehemencie is my garment changed, which compasseth me about as the colar of my coate.
[GNV | EN | OT | Job | Chapter 30 | Verse 19] He hath cast me into the myre, and I am become like ashes and dust.
[GNV | EN | OT | Job | Chapter 30 | Verse 20] Whe I cry vnto thee, thou doest not heare me, neither regardest me, when I stand vp.
[GNV | EN | OT | Job | Chapter 30 | Verse 21] Thou turnest thy selfe cruelly against me, and art enemie vnto mee with the strength of thine hand.
[GNV | EN | OT | Job | Chapter 30 | Verse 22] Thou takest me vp and causest mee to ride vpon the winde, and makest my strength to faile.
[GNV | EN | OT | Job | Chapter 30 | Verse 23] Surely I knowe that thou wilt bring mee to death, and to the house appoynted for all the liuing.
[GNV | EN | OT | Job | Chapter 30 | Verse 24] Doubtles none can stretch his hand vnto the graue, though they cry in his destruction.
[GNV | EN | OT | Job | Chapter 30 | Verse 25] Did not I weepe with him that was in trouble? was not my soule in heauinesse for the poore?
[GNV | EN | OT | Job | Chapter 30 | Verse 26] Yet when I looked for good, euill came vnto me: and when I waited for light, there came darkenesse.
[GNV | EN | OT | Job | Chapter 30 | Verse 27] My bowels did boyle without rest: for the dayes of affliction are come vpon me.
[GNV | EN | OT | Job | Chapter 30 | Verse 28] I went mourning without sunne: I stood vp in the congregation and cryed.
[GNV | EN | OT | Job | Chapter 30 | Verse 29] I am a brother to the dragons, and a companion to the ostriches.
[GNV | EN | OT | Job | Chapter 30 | Verse 30] My skinne is blacke vpon me, and my bones are burnt with heate.
[GNV | EN | OT | Job | Chapter 30 | Verse 31] Therefore mine harpe is turned to mourning, and mine organs into the voyce of them that weepe.
