[GNV | EN | OT | Job | Chapter 34 | Verse 1] Moreouer Elihu answered, and saide,
[GNV | EN | OT | Job | Chapter 34 | Verse 2] Heare my wordes, ye wise men, and hearken vnto me, ye that haue knowledge.
[GNV | EN | OT | Job | Chapter 34 | Verse 3] For the eare tryeth the words, as the mouth tasteth meate.
[GNV | EN | OT | Job | Chapter 34 | Verse 4] Let vs seeke iudgement among vs, and let vs knowe among our selues what is good.
[GNV | EN | OT | Job | Chapter 34 | Verse 5] For Iob hath saide, I am righteous, and God hath taken away my iudgement.
[GNV | EN | OT | Job | Chapter 34 | Verse 6] Should I lye in my right? my wound of the arrowe is grieuous without my sinne.
[GNV | EN | OT | Job | Chapter 34 | Verse 7] What man is like Iob, that drinketh scornfulnesse like water?
[GNV | EN | OT | Job | Chapter 34 | Verse 8] Which goeth in the companie of them that worke iniquitie, and walketh with wicked men?
[GNV | EN | OT | Job | Chapter 34 | Verse 9] For he hath saide, It profiteth a man nothing that he should walke with God.
[GNV | EN | OT | Job | Chapter 34 | Verse 10] Therefore hearken vnto me, ye men of wisedome, God forbid that wickednesse should be in God, and iniquitie in the Almightie.
[GNV | EN | OT | Job | Chapter 34 | Verse 11] For he will render vnto man according to his worke, and cause euery one to finde according to his way.
[GNV | EN | OT | Job | Chapter 34 | Verse 12] And certainely God will not do wickedly, neither will the Almightie peruert iudgement.
[GNV | EN | OT | Job | Chapter 34 | Verse 13] Whome hath he appointed ouer the earth beside him selfe? or who hath placed the whole worlde?
[GNV | EN | OT | Job | Chapter 34 | Verse 14] If he set his heart vpon man, and gather vnto him selfe his spirit and his breath,
[GNV | EN | OT | Job | Chapter 34 | Verse 15] All flesh shall perish together, and man shall returne vnto dust.
[GNV | EN | OT | Job | Chapter 34 | Verse 16] And if thou hast vnderstanding, heare this and hearken to the voyce of my wordes.
[GNV | EN | OT | Job | Chapter 34 | Verse 17] Shal he that hateth iudgement, gouerne? and wilt thou iudge him wicked that is most iust?
[GNV | EN | OT | Job | Chapter 34 | Verse 18] Wilt thou say vnto a King, Thou art wicked? or to princes, Ye are vngodly?
[GNV | EN | OT | Job | Chapter 34 | Verse 19] How much lesse to him that accepteth not the persons of princes, and regardeth not the rich, more then the poore? for they be all the worke of his handes.
[GNV | EN | OT | Job | Chapter 34 | Verse 20] They shall die suddenly, and the people shalbe troubled at midnight, and they shall passe foorth and take away the mightie without hand.
[GNV | EN | OT | Job | Chapter 34 | Verse 21] For his eyes are vpon the wayes of man, and he seeth all his goings.
[GNV | EN | OT | Job | Chapter 34 | Verse 22] There is no darkenesse nor shadowe of death, that the workers of iniquitie might be hid therein.
[GNV | EN | OT | Job | Chapter 34 | Verse 23] For he will not lay on man so much, that he should enter into iudgement with God.
[GNV | EN | OT | Job | Chapter 34 | Verse 24] He shall breake the mightie without seeking, and shall set vp other in their stead.
[GNV | EN | OT | Job | Chapter 34 | Verse 25] Therefore shall he declare their works: he shall turne the night, and they shalbe destroyed.
[GNV | EN | OT | Job | Chapter 34 | Verse 26] He striketh them as wicked men in the places of the seers,
[GNV | EN | OT | Job | Chapter 34 | Verse 27] Because they haue turned backe from him, and would not consider all his wayes:
[GNV | EN | OT | Job | Chapter 34 | Verse 28] So that they haue caused the voyce of the poore to come vnto him, and he hath heard the cry of the afflicted.
[GNV | EN | OT | Job | Chapter 34 | Verse 29] And when he giueth quietnesse, who can make trouble? and when he hideth his face, who can beholde him, whether it be vpon nations, or vpon a man onely?
[GNV | EN | OT | Job | Chapter 34 | Verse 30] Because the hypocrite doeth reigne, and because the people are snared.
[GNV | EN | OT | Job | Chapter 34 | Verse 31] Surely it appertaineth vnto God to say, I haue pardoned, I will not destroy.
[GNV | EN | OT | Job | Chapter 34 | Verse 32] But if I see not, teach thou me: if I haue done wickedly, I will doe no more.
[GNV | EN | OT | Job | Chapter 34 | Verse 33] Wil he performe the thing through thee? for thou hast reproued it, because that thou hast chosen, and not I. now speake what thou knowest.
[GNV | EN | OT | Job | Chapter 34 | Verse 34] Let men of vnderstanding tell me, and let a wise man hearken vnto me.
[GNV | EN | OT | Job | Chapter 34 | Verse 35] Iob hath not spoken of knowledge, neyther were his wordes according to wisedome.
[GNV | EN | OT | Job | Chapter 34 | Verse 36] I desire that Iob may be tryed, vnto the ende touching the answeres for wicked men.
[GNV | EN | OT | Job | Chapter 34 | Verse 37] For he addeth rebellion vnto his sinne: he clappeth his handes among vs, and multiplieth his wordes against God.
