[GNV | EN | OT | Job | Chapter 38 | Verse 1] Then answered the Lord vnto Iob out of the whirle winde, and said,
[GNV | EN | OT | Job | Chapter 38 | Verse 2] Who is this that darkeneth the counsell by wordes without knowledge?
[GNV | EN | OT | Job | Chapter 38 | Verse 3] Girde vp nowe thy loynes like a man: I will demande of thee and declare thou vnto me.
[GNV | EN | OT | Job | Chapter 38 | Verse 4] Where wast thou when I layd the foundations of the earth? declare, if thou hast vnderstanding,
[GNV | EN | OT | Job | Chapter 38 | Verse 5] Who hath layde the measures thereof, if thou knowest, or who hath stretched the line ouer it:
[GNV | EN | OT | Job | Chapter 38 | Verse 6] Whereupon are the foundations thereof set: or who layed the corner stone thereof:
[GNV | EN | OT | Job | Chapter 38 | Verse 7] When the starres of the morning praysed me together, and all the children of God reioyced:
[GNV | EN | OT | Job | Chapter 38 | Verse 8] Or who hath shut vp the Sea with doores, when it yssued and came foorth as out of the wombe:
[GNV | EN | OT | Job | Chapter 38 | Verse 9] When I made the cloudes as a couering thereof, and darkenesse as the swadeling bands thereof:
[GNV | EN | OT | Job | Chapter 38 | Verse 10] When I stablished my commandement vpon it, and set barres and doores,
[GNV | EN | OT | Job | Chapter 38 | Verse 11] And said, Hitherto shalt thou come, but no farther, and here shall it stay thy proude waues.
[GNV | EN | OT | Job | Chapter 38 | Verse 12] Hast thou commanded the morning since thy dayes? hast thou caused the morning to knowe his place,
[GNV | EN | OT | Job | Chapter 38 | Verse 13] That it might take hold of the corners of the earth, and that the wicked might be shaken out of it?
[GNV | EN | OT | Job | Chapter 38 | Verse 14] It is turned as clay to facion, and all stand vp as a garment.
[GNV | EN | OT | Job | Chapter 38 | Verse 15] And from the wicked their light shall be taken away, and the hie arme shalbe broken.
[GNV | EN | OT | Job | Chapter 38 | Verse 16] Hast thou entred into the bottomes of the sea? or hast thou walked to seeke out the depth?
[GNV | EN | OT | Job | Chapter 38 | Verse 17] Haue the gates of death bene opened vnto thee? or hast thou seene the gates of the shadowe of death?
[GNV | EN | OT | Job | Chapter 38 | Verse 18] Hast thou perceiued the breadth of the earth? tell if thou knowest all this.
[GNV | EN | OT | Job | Chapter 38 | Verse 19] Where is the way where light dwelleth? and where is the place of darkenesse,
[GNV | EN | OT | Job | Chapter 38 | Verse 20] That thou shouldest receiue it in the boundes thereof, and that thou shouldest knowe the paths to the house thereof?
[GNV | EN | OT | Job | Chapter 38 | Verse 21] Knewest thou it, because thou wast then borne, and because the nomber of thy dayes is great?
[GNV | EN | OT | Job | Chapter 38 | Verse 22] Hast thou entred into the treasures of the snow? or hast thou seene the treasures of ye haile,
[GNV | EN | OT | Job | Chapter 38 | Verse 23] Which I haue hid against the time of trouble, against the day of warre and battell?
[GNV | EN | OT | Job | Chapter 38 | Verse 24] By what way is the light parted, which scattereth the East winde vpon the earth?
[GNV | EN | OT | Job | Chapter 38 | Verse 25] Who hath deuided the spowtes for the raine? or the way for the lightning of ye thunders,
[GNV | EN | OT | Job | Chapter 38 | Verse 26] To cause it to raine on the earth where no man is, and in the wildernes where there is no man?
[GNV | EN | OT | Job | Chapter 38 | Verse 27] To fulfil the wilde and waste place, and to cause the bud of the herbe to spring forth?
[GNV | EN | OT | Job | Chapter 38 | Verse 28] Who is the father of the rayne? or who hath begotten the droppes of the dewe?
[GNV | EN | OT | Job | Chapter 38 | Verse 29] Out of whose wombe came the yee? who hath ingendred the frost of the heauen?
[GNV | EN | OT | Job | Chapter 38 | Verse 30] The waters are hid as with a stone: and the face of the depth is frosen.
[GNV | EN | OT | Job | Chapter 38 | Verse 31] Canst thou restraine the sweete influences of the Pleiades? or loose the bandes of Orion?
[GNV | EN | OT | Job | Chapter 38 | Verse 32] Canst thou bring foorth Mazzaroth in their time? canst thou also guide Arcturus with his sonnes?
[GNV | EN | OT | Job | Chapter 38 | Verse 33] Knowest thou the course of heauen, or canst thou set the rule thereof in the earth?
[GNV | EN | OT | Job | Chapter 38 | Verse 34] Canst thou lift vp thy voice to the cloudes that the aboundance of water may couer thee?
[GNV | EN | OT | Job | Chapter 38 | Verse 35] Canst thou sende the lightenings that they may walke, and say vnto thee, Loe, heere we are?
[GNV | EN | OT | Job | Chapter 38 | Verse 36] Who hath put wisedome in the reines? or who hath giuen the heart vnderstanding?
[GNV | EN | OT | Job | Chapter 38 | Verse 37] Who can nomber cloudes by wisedome? or who can cause to cease the bottels of heaue,
[GNV | EN | OT | Job | Chapter 38 | Verse 38] When the earth groweth into hardnesse, and the clottes are fast together?
