[GNV | EN | OT | Job | Chapter 8 | Verse 1] Then answered Bildad the Shuhite, and saide,
[GNV | EN | OT | Job | Chapter 8 | Verse 2] Howe long wilt thou talke of these things? and howe long shall the wordes of thy mouth be as a mightie winde?
[GNV | EN | OT | Job | Chapter 8 | Verse 3] Doeth God peruert iudgement? or doeth the Almightie subuert iustice?
[GNV | EN | OT | Job | Chapter 8 | Verse 4] If thy sonnes haue sinned against him, and he hath sent them into the place of their iniquitie,
[GNV | EN | OT | Job | Chapter 8 | Verse 5] Yet if thou wilt early seeke vnto God, and pray to the Almightie,
[GNV | EN | OT | Job | Chapter 8 | Verse 6] If thou be pure and vpright, then surely hee will awake vp vnto thee, and he wil make the habitation of thy righteousnesse prosperous.
[GNV | EN | OT | Job | Chapter 8 | Verse 7] And though thy beginning be small, yet thy latter ende shall greatly encrease.
[GNV | EN | OT | Job | Chapter 8 | Verse 8] Inquire therefore, I pray thee, of the former age, and prepare thy selfe to search of their fathers.
[GNV | EN | OT | Job | Chapter 8 | Verse 9] (For we are but of yesterday, and are ignorant: for our dayes vpon earth are but a shadowe)
[GNV | EN | OT | Job | Chapter 8 | Verse 10] Shall not they teach thee and tell thee, and vtter the wordes of their heart?
[GNV | EN | OT | Job | Chapter 8 | Verse 11] Can a rush grow without myre? or can ye grasse growe without water?
[GNV | EN | OT | Job | Chapter 8 | Verse 12] Though it were in greene and not cutte downe, yet shall it wither before any other herbe.
[GNV | EN | OT | Job | Chapter 8 | Verse 13] So are the paths of al that forget God, and the hypocrites hope shall perish.
[GNV | EN | OT | Job | Chapter 8 | Verse 14] His confidence also shalbe cut off, and his trust shalbe as the house of a spyder.
[GNV | EN | OT | Job | Chapter 8 | Verse 15] He shall leane vpon his house, but it shall not stand: he shall holde him fast by it, yet shall it not endure.
[GNV | EN | OT | Job | Chapter 8 | Verse 16] The tree is greene before the sunne, and the branches spread ouer the garden thereof.
[GNV | EN | OT | Job | Chapter 8 | Verse 17] The rootes thereof are wrapped about the fountaine, and are folden about ye house of stones.
[GNV | EN | OT | Job | Chapter 8 | Verse 18] If any plucke it from his place, and it denie, saying, I haue not seene thee,
[GNV | EN | OT | Job | Chapter 8 | Verse 19] Beholde, it will reioyce by this meanes, that it may growe in another molde.
[GNV | EN | OT | Job | Chapter 8 | Verse 20] Behold, God will not cast away an vpright man, neither will he take the wicked by the hand,
[GNV | EN | OT | Job | Chapter 8 | Verse 21] Till he haue filled thy mouth with laughter, and thy lippes with ioy.
[GNV | EN | OT | Job | Chapter 8 | Verse 22] They that hate thee, shall be clothed with shame, and the dwelling of the wicked shall not remaine.
