[JPS | EN | OT | Numbers | Chapter 12 | Verse 1] And Miriam and Aaron spoke against Moses because of the Cushite woman whom he had married; for he had married a Cushite woman.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 2] And they said: 'Hath the LORD indeed spoken only with Moses? hath He not spoken also with us?' And the LORD heard it. —
[JPS | EN | OT | Numbers | Chapter 12 | Verse 3] Now the man Moses was very meek, above all the men that were upon the face of the earth. —
[JPS | EN | OT | Numbers | Chapter 12 | Verse 4] And the LORD spoke suddenly unto Moses, and unto Aaron, and unto Miriam: 'Come out ye three unto the tent of meeting.' And they three came out.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 5] And the LORD came down in a pillar of cloud, and stood at the door of the Tent, and called Aaron and Miriam; and they both came forth.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 6] And He said: 'Hear now My words: if there be a prophet among you, I the LORD do make Myself known unto him in a vision, I do speak with him in a dream.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 7] My servant Moses is not so; he is trusted in all My house;
[JPS | EN | OT | Numbers | Chapter 12 | Verse 8] with him do I speak mouth to mouth, even manifestly, and not in dark speeches; and the similitude of the LORD doth he behold; wherefore then were ye not afraid to speak against My servant, against Moses?'
[JPS | EN | OT | Numbers | Chapter 12 | Verse 9] And the anger of the LORD was kindled against them; and He departed.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 10] And when the cloud was removed from over the Tent, behold, Miriam was leprous, as white as snow; and Aaron looked upon Miriam; and, behold, she was leprous.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 11] And Aaron said unto Moses: 'Oh my lord, lay not, I pray thee, sin upon us, for that we have done foolishly, and for that we have sinned.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 12] Let her not, I pray, be as one dead, of whom the flesh is half consumed when he cometh out of his mother's womb.'
[JPS | EN | OT | Numbers | Chapter 12 | Verse 13] And Moses cried unto the LORD, saying: 'Heal her now, O God, I beseech Thee.'
[JPS | EN | OT | Numbers | Chapter 12 | Verse 14] And the LORD said unto Moses: 'If her father had but spit in her face, should she not hide in shame seven days? let her be shut up without the camp seven days, and after that she shall be brought in again.'
[JPS | EN | OT | Numbers | Chapter 12 | Verse 15] And Miriam was shut up without the camp seven days; and the people journeyed not till Miriam was brought in again.
[JPS | EN | OT | Numbers | Chapter 12 | Verse 16] And afterward the people journeyed from Hazeroth, and pitched in the wilderness of Paran.
