[DARBY | EN | OT | Exodus | Chapter 39 | Verse 1] And of the blue and purple and scarlet they made garments of service, for service in the sanctuary, and made the holy garments for Aaron; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 2] And he made the ephod of gold, blue, and purple, and scarlet, and twined byssus.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 3] And they beat the gold into thin plates, and cut it [into] wires, to work it artistically into the blue, and into the purple, and into the scarlet, and into the byssus.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 4] They made shoulder-pieces for it, joining it: at its two ends was it joined together.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 5] And the girdle of his ephod, which was on it, was of the same, according to its work, of gold, blue, and purple, and scarlet, and twined byssus; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 6] And they wrought the onyx stones mounted in enclosures of gold, engraved with the engravings of a seal, according to the names of the sons of Israel.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 7] And he put them on the shoulder-pieces of the ephod, [as] stones of memorial for the children of Israel; as Jehovah had commanded Moses.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 8] And he made the breastplate of artistic work, like the work of the ephod, of gold, blue, and purple, and scarlet, and twined byssus.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 9] It was square; double did they make the breastplate, a span the length thereof, and a span the breadth thereof, doubled.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 10] And they set in it four rows of stones: [one] row, a sardoin, a topaz, and an emerald — the first row;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 11] and the second row, a carbuncle, a sapphire, and a diamond;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 12] and the third row, an opal, an agate, and an amethyst;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 13] and the fourth row, a chrysolite, an onyx, and a jasper; mounted in enclosures of gold in their settings.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 14] And the stones were according to the names of the children of Israel, twelve, according to their names, engraved as a seal, every one according to his name, for the twelve tribes.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 15] And they made on the breastplate chains of laced work of wreathen work, of pure gold.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 16] And they made two settings of gold, and two gold rings, and put the two rings on the two ends of the breastplate.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 17] And they put the two wreathen [cords] of gold in the two rings on the ends of the breastplate;
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 18] and the two ends of the two wreathen [cords] they fastened to the two settings, and put them on the shoulder-pieces of the ephod, on the front thereof.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 19] And they made two rings of gold, and put [them] on the two ends of the breastplate, on the border thereof, which faceth the ephod inwards.
[DARBY | EN | OT | Exodus | Chapter 39 | Verse 20] And they made two rings of gold, and put them upon the two shoulder-pieces of the ephod underneath, to the front thereof, just by the coupling thereof, above the girdle of the ephod.
