[DARBY | EN | OT | Exodus | Chapter 35 | Verse 1] And Moses collected all the assembly of the children of Israel, and said to them, These are the things which Jehovah has commanded, to do them.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 2] Six days shall work be done, but on the seventh day there shall be to you a holy day, a sabbath of rest to Jehovah: whoever does work on it shall be put to death.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 3] Ye shall kindle no fire throughout your dwellings upon the sabbath day.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 4] And Moses spoke to all the assembly of the children of Israel, saying, This is the word which Jehovah has commanded, saying,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 5] Take from among you a heave-offering to Jehovah: every one whose heart [is] willing, let him bring it, Jehovah's heave-offering — gold, and silver, and copper,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 6] and blue, and purple, and scarlet, and byssus, and goats' [hair],
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 7] and rams' skins dyed red, and badgers' skins, and acacia-wood,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 8] and oil for the light, and spices for the anointing oil, and for the incense of fragrant drugs;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 9] and onyx stones, and stones to be set for the ephod, and for the breastplate.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 10] And all who are wise-hearted among you shall come and make all that Jehovah has commanded:
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 11] the tabernacle, its tent, and its covering, its clasps, and its boards, its bars, its pillars, and its bases;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 12] the ark, and its staves; the mercy-seat, and the veil of separation;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 13] the table and its staves, and all its utensils, and the shewbread;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 14] and the lamp-stand for the light, and its utensils, and its lamps, and the oil for the light;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 15] and the altar of incense, and its staves; and the anointing-oil, and the incense of fragrant drugs; and the entrance-curtain at the entrance of the tabernacle;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 16] the altar of burnt-offering, and the copper grating for it, its staves, and all its utensils; the laver and its stand;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 17] the hangings of the court, its pillars, and its bases, and the curtains of the gate of the court;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 18] the pegs of the tabernacle, and the pegs of the court, and their cords;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 19] the garments of service, to do service in the sanctuary, the holy garments for Aaron the priest, and the garments of his sons, to serve as priests.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 20] And all the assembly of the children of Israel departed from before Moses.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 21] And they came, every one whose heart moved him, and every one whose spirit prompted him; they brought Jehovah's heave-offering for the work of the tent of meeting, and for all its service, and for the holy garments.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 22] And they came, both men and women; every one who was of willing heart brought nose-rings, and earrings, and rings, and bracelets, all kinds of utensils of gold: every man that waved a wave-offering of gold to Jehovah.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 23] And every man with whom was found blue, and purple, and scarlet, and byssus, and goats' [hair], and rams' skins dyed red, and badgers' skins, brought [them].
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 24] All they that offered a heave-offering of silver and copper brought Jehovah's heave-offering. And every one with whom was found acacia-wood for all manner of work of the service, brought [it].
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 25] And every woman that was wise-hearted spun with her hands, and brought what she had spun: the blue, and the purple, and the scarlet, and the byssus.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 26] And all the women whose heart moved them in wisdom spun goats' [hair].
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 27] And the principal men brought the onyx stones, and the stones to be set, for the ephod, and for the breastplate;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 28] and the spice, and the oil for the light, and for the anointing oil, and for the incense of fragrant drugs.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 29] The children of Israel brought a voluntary offering to Jehovah, every man and woman whose heart prompted them to bring for all manner of work, which Jehovah, by the hand of Moses, had commanded to be done.
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 30] And Moses said to the children of Israel, See, Jehovah has called by name Bezaleel the son of Uri, the son of Hur, of the tribe of Judah,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 31] and he has filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 32] and to devise artistic things: to work in gold, and in silver, and in copper,
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 33] and in cutting of stones, for setting, and in carving of wood, to execute all artistic work;
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 34] and he has put in his heart to teach, he and Aholiab, the son of Ahisamach, of the tribe of Dan:
[DARBY | EN | OT | Exodus | Chapter 35 | Verse 35] he has filled them with wisdom of heart, to work all manner of work of the engraver, and of the artificer, and of the embroiderer, in blue, and in purple, in scarlet, and in byssus, and of the weaver, [even] of them that do every kind of work, and of those that devise artistic work.
