[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 1] The word of the Lord which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 2] I will utterly consume all things from off the land, saith the Lord.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 3] I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, And the stumblingblocks with the wicked; And I will cut off man from off the land, saith the Lord.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 4] I will also stretch out mine hand upon Judah, And upon all the inhabitants of Jerusalem; And I will cut off the remnant of Baal from this place, And the name of the Chemarims with the priests;
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 5] And them that worship the host of heaven upon the housetops; And them that worship and that swear by the Lord, And that swear by Malcham;
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 6] And them that are turned back from the Lord; And those that have not sought the Lord, nor inquired for him.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 7] Hold thy peace at the presence of the Lord God: For the day of the Lord is at hand: For the Lord hath prepared a sacrifice, He hath bid his guests.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 8] And it shall come to pass in the day of the Lord’s sacrifice, That I will punish the princes, and the king’s children, And all such as are clothed with strange apparel.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 9] In the same day also will I punish all those that leap on the threshold, Which fill their masters’ houses with violence and deceit.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 10] And it shall come to pass in that day, saith the Lord, That there shall be the noise of a cry from the fish gate, And a howling from the second, And a great crashing from the hills.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 11] Howl, ye inhabitants of Maktesh, For all the merchant people are cut down; All they that bear silver are cut off.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 12] And it shall come to pass at that time, That I will search Jerusalem with candles, And punish the men that are settled on their lees: That say in their heart, The Lord will not do good, neither will he do evil.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 13] Therefore their goods shall become a booty, and their houses a desolation: They shall also build houses, but not inhabit them; And they shall plant vineyards, but not drink the wine thereof.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 14] The great day of the Lord is near, It is near, and hasteth greatly, Even the voice of the day of the Lord: The mighty man shall cry there bitterly.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 15] That day is a day of wrath, A day of trouble and distress, A day of wasteness and desolation, A day of darkness and gloominess, A day of clouds and thick darkness,
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 16] A day of the trumpet and alarm Against the fenced cities, and against the high towers.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 17] And I will bring distress upon men, that they shall walk like blind men, Because they have sinned against the Lord: And their blood shall be poured out as dust, and their flesh as the dung.
[KJV | EN | OT | Zephaniah | Chapter 1 | Verse 18] Neither their silver nor their gold shall be able to deliver them In the day of the Lord’s wrath; But the whole land shall be devoured by the fire of his jealousy: For he shall make even a speedy riddance of all them that dwell in the land.
