[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 1] શમુએલે સર્વ ઇઝરાયલીઓને કહ્યું, “જે વિનંતી તમે મારી આગળ કરી હતી તે મેં સાંભળી છે. અને મેં તમારા પર એક રાજા નીમ્યો છે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 2] જુઓ તે રાજા અહીં છે, તે તમારી આગળ ચાલે છે; હું તો વૃદ્ધ તથા નિસ્તેજ થયો છું; અને મારા દીકરા તમારી સાથે છે. હું મારી યુવાવસ્થાથી આજ દિવસ સુધી તમારી આગળ ચાલ્યો છું.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 3] હું આ રહ્યો; શું મેં કોઈનો બળદ લઈ લીધો છે? મેં કોઈનું ગધેડું લઈ લીધું છે? શું મેં કોઈને છેતર્યો છે? મેં કોઈનાં પર જુલમ કર્યો છે? મારી આંખો પર પાટો બાંધવા સારુ મેં કોઈનાં હાથથી લાંચ લીધી છે? જો એવું કર્યું હોય તો ઈશ્વરના અભિષિક્ત આગળ મારી વિરુદ્ધ સાક્ષી આપો અને હું તમને પાછું આપીશ.”
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 4] તેઓએ કહ્યું, “તેં અમને ઠગ્યા નથી, અમારા પર જુલમ કર્યો નથી, કોઈ માણસનું કશું ચોર્યું નથી.”
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 5] તેણે તેઓને કહ્યું, “ઈશ્વર તમારી સામે સાક્ષી છે, આજ તેનો અભિષિક્ત સાક્ષી છે, કે મારી પાસેથી તમને કશું મળ્યું નથી.” તેઓએ કહ્યું, “ઈશ્વર સાક્ષી છે.”
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 6] શમુએલે લોકોને કહ્યું, “મૂસા તથા હારુનને નીમનાર તથા તમારા પિતૃઓને મિસરમાંથી કાઢી લાવનાર ઈશ્વર છે.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 7] હવે તમે, પોતાની જાતને ઉપસ્થિત કરો, કે ઈશ્વરે જે સર્વ ન્યાયી કામો તમારે માટે તથા તમારા પિતૃઓ માટે કર્યા, તે સર્વ વિષે ઈશ્વરની હાજરીમાં હું રજૂઆત કરું.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 8] યાકૂબ મિસરમાં આવ્યો અને જયારે તમારા પિતૃઓ ઈશ્વરની આગળ રડ્યા, ત્યારે ઈશ્વરે મૂસા તથા હારુનને મોકલ્યા, તે તમારા પિતૃઓને મિસરમાંથી બહાર લાવ્યા અને આ જગ્યાએ વસાવ્યા.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 9] પણ પિતૃઓ પોતાના પ્રભુ ઈશ્વરને વીસરી ગયા; ત્યારે તેમણે હાસોરના સૈન્યના સેનાપતિ સીસરાના હાથમાં, પલિસ્તીઓના હાથમાં, મોઆબ રાજાના હાથમાં તેઓને વેચી દીધા. તેઓ બધા તમારા પૂર્વજો સામે લડયા.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 10] પૂર્વજોએ ઈશ્વર આગળ રડીને કહ્યું, ‘અમે પાપ કર્યું છે, કેમ કે અમે ઈશ્વરને તજીને બઆલિમ તથા દેવી આશ્તારોથની સેવા કરી છે. પણ હવે અમારા શત્રુઓના હાથમાંથી અમને છોડાવો અને અમે તમારી સેવા કરીશું.
[IRV | GU | OT | 1 Samuel | Chapter 12 | Verse 11] તેથી ઈશ્વરે યરુબાલ, બદાન, યિફતા, શમુએલને મોકલીને ચારેગમના તમારા શત્રુઓ પર તમને વિજય અપાવ્યો, જેથી તમે સલામત રહો.
