[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 1] દાઉદના મનમાં થયું કે, “હવે તો એક દિવસ હું શાઉલના હાથથી માર્યો જઈશ; પલિસ્તીઓના દેશમાં નાસી જવા કરતાં બીજું કંઈ મારા માટે સારું નથી; શાઉલ મારા વિષે નિરાશ થઈને ઇઝરાયલની સર્વ સરહદોમાં મારી શોધ કરવાનું છોડી દેશે; એમ તેમના હાથમાંથી હું બચી જઈશ.”
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 2] દાઉદ ઊઠયો અને તે તથા તેની સાથેના છસો માણસો માઓખના દીકરા તથા ગાથના રાજા આખીશ પાસે જતા રહ્યા.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 3] દાઉદ તથા તેના માણસો ગાથમાં આખીશ સાથે રહ્યા, દરેક માણસ પોતાના પરિવાર સહિત અને દાઉદ પણ પોતાની બે પત્નીઓ, એટલે યિઝ્રએલી અહિનોઆમ તથા નાબાલની પત્ની કાર્મેલી અબિગાઈલ સાથે રહ્યો.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 4] શાઉલને કહેવામાં આવ્યું હતું કે દાઉદ ગાથમાં નાસી ગયો છે, તેથી તેણે ફરી તેની શોધ કરી નહિ.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 5] દાઉદે આખીશને કહ્યું, “જો હું તારી દ્રષ્ટિમાં કૃપાપાત્ર હોઉં, તો મને રહેવા માટે દેશના કોઈએક નગરમાં જગ્યા આપ કે, હું ત્યાં રહું કેમ કે તારો સેવક રાજધાનીમાં તારી સાથે શા માટે રહે?”
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 6] તેથી આખીશે તેને તે દિવસે સિકલાગ આપ્યું; એ માટે સિકલાગ આજ સુધી યહૂદિયાના રાજાઓની માલિકીનું છે.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 7] જેટલા દિવસો દાઉદ પલિસ્તીઓના દેશમાં રહ્યો તેનો સમયગાળો એક આખું વર્ષ તથા ચાર મહિના જેટલો હતો.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 8] દાઉદ તથા તેના માણસોએ વિવિધ સ્થળો પર હુમલો કર્યો, ગશૂરીઓ, ગિર્ઝીઓ તથા અમાલેકીઓ ઉપર છાપા માર્યા; કેમ કે પ્રાચીન કાળથી તે લોકો તે દેશમાં શૂર તરફ છેક મિસર દેશ સુધી વસેલા હતા.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 9] દાઉદે તે દેશ ઉપર હુમલો કરીને કોઈપણ પુરુષને કે સ્ત્રીને જીવતા રહેવા દીધા નહિ; તેણે ઘેટાં, બળદો, ગધેડાં, ઊંટો તથા વસ્ત્રો લઈ લીધા; તે પાછો વળ્યો અને ફરીથી આખીશ પાસે આવ્યો.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 10] આખીશ પૂછતો, “આજે તારી સવારી ક્યાં ધાડ પાડી આવી?” દાઉદ જવાબ આપતો, “યહૂદિયાના દક્ષિણ પર,” “યરાહમેલીઓના દક્ષિણ પર,” તથા “કેનીઓના દક્ષિણ પર.”
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 11] દાઉદે કોઈપણ પુરુષોને કે સ્ત્રીઓને ગાથમાં લાવવા માટે તેઓને જીવતાં રહેવા દીધા નહિ. તેણે કહ્યું, “રખેને તેઓ અમારી વિરુદ્ધ સાક્ષી પૂરે, કે ‘દાઉદે આમ કર્યું.” જ્યાં સુધી તે પલિસ્તીઓના દેશમાં રહ્યો તેટલો બધો વખત તે આવું જ કરતો રહ્યો છે.
[IRV | GU | OT | 1 Samuel | Chapter 27 | Verse 12] આખીશ દાઉદનો વિશ્વાસ કરતાં કહેતો કે, “તેણે પોતાના ઇઝરાયલ લોકનો સંપૂર્ણ ધિક્કાર સંપાદન કર્યો છે; માટે તે સદા મારો દાસ થઈને રહેશે.”
