[BSB | EN | NT | Romans | Chapter 3 | Verse 1] What, then, is the advantage of being a Jew? Or what is the value of circumcision?
[BSB | EN | NT | Romans | Chapter 3 | Verse 2] Much in every way. First of all, they have been entrusted with the very words of God.
[BSB | EN | NT | Romans | Chapter 3 | Verse 3] What if some did not have faith? Will their lack of faith nullify God’s faithfulness?
[BSB | EN | NT | Romans | Chapter 3 | Verse 4] Certainly not! Let God be true and every man a liar. As it is written: “So that You may be proved right when You speak and victorious when You judge.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 5] But if our unrighteousness highlights the righteousness of God, what shall we say? That God is unjust to inflict His wrath on us? I am speaking in human terms.
[BSB | EN | NT | Romans | Chapter 3 | Verse 6] Certainly not! In that case, how could God judge the world?
[BSB | EN | NT | Romans | Chapter 3 | Verse 7] However, if my falsehood accentuates God’s truthfulness, to the increase of His glory, why am I still condemned as a sinner?
[BSB | EN | NT | Romans | Chapter 3 | Verse 8] Why not say, as some slanderously claim that we say, “Let us do evil that good may result”? Their condemnation is deserved!
[BSB | EN | NT | Romans | Chapter 3 | Verse 9] What then? Are we any better? Not at all. For we have already made the charge that Jews and Greeks alike are all under sin.
[BSB | EN | NT | Romans | Chapter 3 | Verse 10] As it is written: “There is no one righteous, not even one.
[BSB | EN | NT | Romans | Chapter 3 | Verse 11] There is no one who understands, no one who seeks God.
[BSB | EN | NT | Romans | Chapter 3 | Verse 12] All have turned away, they have together become worthless; there is no one who does good, not even one.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 13] “Their throats are open graves; their tongues practice deceit.” “The venom of vipers is on their lips.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 14] “Their mouths are full of cursing and bitterness.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 15] “Their feet are swift to shed blood;
[BSB | EN | NT | Romans | Chapter 3 | Verse 16] ruin and misery lie in their wake,
[BSB | EN | NT | Romans | Chapter 3 | Verse 17] and the way of peace they have not known.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 18] “There is no fear of God before their eyes.”
[BSB | EN | NT | Romans | Chapter 3 | Verse 19] Now we know that whatever the law says, it says to those who are under the law, so that every mouth may be silenced and the whole world held accountable to God.
[BSB | EN | NT | Romans | Chapter 3 | Verse 20] Therefore no one will be justified in His sight by works of the law. For the law merely brings awareness of sin.
[BSB | EN | NT | Romans | Chapter 3 | Verse 21] But now, apart from the law, the righteousness of God has been revealed, as attested by the Law and the Prophets.
[BSB | EN | NT | Romans | Chapter 3 | Verse 22] And this righteousness from God comes through faith in Jesus Christ to all who believe. There is no distinction,
[BSB | EN | NT | Romans | Chapter 3 | Verse 23] for all have sinned and fall short of the glory of God,
[BSB | EN | NT | Romans | Chapter 3 | Verse 24] and are justified freely by His grace through the redemption that is in Christ Jesus.
[BSB | EN | NT | Romans | Chapter 3 | Verse 25] God presented Him as the atoning sacrifice through faith in His blood, in order to demonstrate His righteousness, because in His forbearance He had passed over the sins committed beforehand.
[BSB | EN | NT | Romans | Chapter 3 | Verse 26] He did this to demonstrate His righteousness at the present time, so as to be just and to justify the one who has faith in Jesus.
[BSB | EN | NT | Romans | Chapter 3 | Verse 27] Where, then, is boasting? It is excluded. On what principle? On that of works? No, but on that of faith.
[BSB | EN | NT | Romans | Chapter 3 | Verse 28] For we maintain that a man is justified by faith apart from works of the law.
[BSB | EN | NT | Romans | Chapter 3 | Verse 29] Is God the God of Jews only? Is He not the God of Gentiles too? Yes, of Gentiles too,
[BSB | EN | NT | Romans | Chapter 3 | Verse 30] since there is only one God, who will justify the circumcised by faith and the uncircumcised through that same faith.
[BSB | EN | NT | Romans | Chapter 3 | Verse 31] Do we, then, nullify the law by this faith? Certainly not! Instead, we uphold the law.
