[GNV | EN | OT | Psalms | Chapter 35 | Verse 1] A Psalme of Dauid. Pleade thou my cause, O Lord, with them that striue with me: fight thou against them, that fight against me.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 2] Lay hand vpon the shielde and buckler, and stand vp for mine helpe.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 3] Bring out also the speare and stop the way against them, that persecute me: say vnto my soule, I am thy saluation.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 4] Let them be confounded and put to shame, that seeke after my soule: let them be turned backe, and brought to confusion, that imagine mine hurt.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 5] Let them be as chaffe before the winde, and let the Angel of the Lord scatter them.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 6] Let their way be darke and slipperie: and let the Angel of the Lord persecute them.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 7] For without cause they haue hid the pit and their net for me: without cause haue they digged a pit for my soule.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 8] Let destruction come vpon him at vnwares, and let his net, that he hath laid priuilie, take him: let him fall into the same destruction.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 9] Then my soule shalbe ioyfull in the Lord: it shall reioyce in his saluation.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 10] All my bones shall say, Lord, who is like vnto thee, which deliuerest the poore from him, that is too strong for him! yea, the poore and him that is in miserie, from him that spoyleth him!
[GNV | EN | OT | Psalms | Chapter 35 | Verse 11] Cruell witnesses did rise vp: they asked of me things that I knewe not.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 12] They rewarded me euill for good, to haue spoyled my soule.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 13] Yet I, when they were sicke, I was clothed with a sacke: I humbled my soule with fasting: and my praier was turned vpon my bosome.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 14] I behaued my selfe as to my friend, or as to my brother: I humbled my selfe, mourning as one that bewaileth his mother.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 15] But in mine aduersitie they reioyced, and gathered them selues together: the abiects assembled themselues against me, and knewe not: they tare me and ceased not,
[GNV | EN | OT | Psalms | Chapter 35 | Verse 16] With the false skoffers at bankets, gnashing their teeth against me.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 17] Lord, how long wilt thou beholde this? deliuer my soule from their tumult, euen my desolate soule from the lions.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 18] So will I giue thee thankes in a great Congregation: I will praise thee among much people.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 19] Let not them that are mine enemies, vniustly reioyce ouer mee, neyther let them winke with the eye, that hate mee without a cause.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 20] For they speake not as friendes: but they imagine deceitfull woordes against the quiet of the lande.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 21] And they gaped on mee with their mouthes, saying, Aha, aha, our eye hath seene.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 22] Thou hast seene it, O Lord: keepe not silence: be not farre from me, O Lord.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 23] Arise and wake to my iudgement, euen to my cause, my God, and my Lord.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 24] Iudge me, O Lord my God, according to thy righteousnesse, and let them not reioyce ouer mee.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 25] Let them not say in their hearts, O our soule reioyce: neither let them say, We haue deuoured him.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 26] Let them bee confounded, and put to shame together, that reioyce at mine hurt: let them bee clothed with confusion and shame, that lift vp themselues against me.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 27] But let them be ioyful and glad, that loue my righteousnesse: yea, let them say alway, Let the Lord be magnified, which loueth the prosperitie of his seruant.
[GNV | EN | OT | Psalms | Chapter 35 | Verse 28] And my tongue shall vtter thy righteousnesse, and thy praise euery day.
