[GNV | EN | OT | Psalms | Chapter 66 | Verse 1] To him that excelleth. A song or Psalme. Rejoice in God, all ye inhabitants of the earth.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 2] Sing forth the glory of his name: make his praise glorious.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 3] Say vnto God, Howe terrible art thou in thy workes! through the greatnesse of thy power shall thine enemies be in subiection vnto thee.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 4] All the worlde shall worship thee, and sing vnto thee, euen sing of thy Name. Selah.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 5] Come and beholde the workes of God: he is terrible in his doing towarde the sonnes of men.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 6] He hath turned the Sea into drie land: they passe through the riuer on foote: there did we reioyce in him.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 7] He ruleth the worlde with his power: his eyes beholde the nations: the rebellious shall not exalt them selues. Selah.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 8] Prayse our God, ye people, and make the voyce of his prayse to be heard.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 9] Which holdeth our soules in life, and suffereth not our feete to slippe.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 10] For thou, O God, hast proued vs, thou hast tryed vs as siluer is tryed.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 11] Thou hast brought vs into the snare, and layed a strait chaine vpon our loynes.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 12] Thou hast caused men to ryde ouer our heads: we went into fire and into water, but thou broughtest vs out into a welthie place.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 13] I will go into thine House with burnt offrings, and will pay thee my vowes,
[GNV | EN | OT | Psalms | Chapter 66 | Verse 14] Which my lippes haue promised, and my mouth hath spoken in mine affliction.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 15] I will offer vnto thee the burnt offerings of fat rammes with incense: I will prepare bullocks and goates. Selah.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 16] Come and hearken, all ye that feare God, and I will tell you what he hath done to my soule.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 17] I called vnto him with my mouth, and he was exalted with my tongue.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 18] If I regard wickednesse in mine heart, the Lord will not heare me.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 19] But God hath heard me, and considered the voyce of my prayer.
[GNV | EN | OT | Psalms | Chapter 66 | Verse 20] Praysed be God, which hath not put backe my prayer, nor his mercie from me.
