[GNV | EN | OT | Psalms | Chapter 34 | Verse 1] A Psalme of Dauid, when he changed his behauiour before Abimelech, who droue him away, and he departed. I will alway giue thankes vnto the Lord: his praise shalbe in my mouth continually.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 2] My soule shall glory in the Lord: the humble shall heare it, and be glad.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 3] Praise ye the Lord with me, and let vs magnifie his Name together.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 4] I sought the Lord, and he heard me: yea, he deliuered me out of all my feare.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 5] They shall looke vnto him, and runne to him: and their faces shall not be ashamed, saying,
[GNV | EN | OT | Psalms | Chapter 34 | Verse 6] This poore man cryed, and the Lord heard him, and saued him out of all his troubles.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 7] The Angel of the Lord pitcheth round about them, that feare him, and deliuereth them.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 8] Taste ye and see, howe gratious the Lord is: blessed is the man that trusteth in him.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 9] Feare the Lord, ye his Saintes: for nothing wanteth to them that feare him.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 10] The lyons doe lacke and suffer hunger, but they, which seeke the Lord, shall want nothing that is good.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 11] Come children, hearken vnto me: I will teache you the feare of the Lord.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 12] What man is he, that desireth life, and loueth long dayes for to see good?
[GNV | EN | OT | Psalms | Chapter 34 | Verse 13] Keepe thy tongue from euill, and thy lips, that they speake no guile.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 14] Eschewe euill and doe good: seeke peace and follow after it.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 15] The eyes of the Lord are vpon the righteous, and his eares are open vnto their crie.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 16] But the face of the Lord is against them that doe euill, to cut off their remembrance from the earth.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 17] The righteous crie, and the Lord heareth them, and deliuereth them out of all their troubles.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 18] The Lord is neere vnto them that are of a contrite heart, and will saue such as be afflicted in Spirite.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 19] Great are the troubles of the righteous: but the Lord deliuereth him out of them all.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 20] He keepeth all his bones: not one of them is broken.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 21] But malice shall slay the wicked: and they that hate the righteous, shall perish.
[GNV | EN | OT | Psalms | Chapter 34 | Verse 22] The Lord redeemeth the soules of his seruants: and none, that trust in him, shall perish.
