[GNV | EN | OT | Psalms | Chapter 17 | Verse 1] The prayer of Dauid. Heare the right, O Lord, consider my crye: hearken vnto my prayer of lips vnfained.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 2] Let my sentence come forth from thy presence, and let thine eyes beholde equitie.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 3] Thou hast prooued and visited mine heart in the night: thou hast tryed me, and foundest nothing: for I was purposed that my mouth should not offend.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 4] Concerning the workes of men, by the wordes of thy lips I kept mee from the paths of the cruell man.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 5] Stay my steps in thy paths, that my feete doe not slide.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 6] I haue called vpon thee: surely thou wilt heare me, O God: incline thine eare to me, and hearken vnto my wordes.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 7] Shewe thy marueilous mercies, thou that art the Sauiour of them that trust in thee, from such as resist thy right hand.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 8] Keepe me as the apple of the eye: hide me vnder the shadowe of thy wings,
[GNV | EN | OT | Psalms | Chapter 17 | Verse 9] From the wicked that oppresse mee, from mine enemies, which compasse me round about for my soule.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 10] They are inclosed in their owne fat, and they haue spoken proudely with their mouth.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 11] They haue compassed vs now in our steps: they haue set their eyes to bring downe to the ground:
[GNV | EN | OT | Psalms | Chapter 17 | Verse 12] Like as a lyon that is greedy of pray, and as it were a lyons whelp lurking in secret places.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 13] Vp Lord, disappoint him: cast him downe: deliuer my soule from the wicked with thy sworde,
[GNV | EN | OT | Psalms | Chapter 17 | Verse 14] From men by thine hand, O Lord, from men of the world, who haue their portion in this life, whose bellies thou fillest with thine hid treasure: their children haue ynough, and leaue the rest of their substance for their children.
[GNV | EN | OT | Psalms | Chapter 17 | Verse 15] But I will beholde thy face in righteousnes, and when I awake, I shalbe satisfied with thine image.
