[GNV | EN | OT | Psalms | Chapter 102 | Verse 1] A prayer of the afflicted, when he shall be in distresse, and pour forth his meditation before the Lord. O Lord, heare my prayer, and let my crye come vnto thee.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 2] Hide not thy face from me in the time of my trouble: incline thine eares vnto me: when I call, make haste to heare me.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 3] For my dayes are consumed like smoke, and my bones are burnt like an herthe.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 4] Mine heart is smitten and withereth like grasse, because I forgate to eate my bread.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 5] For the voyce of my groning my bones doe cleaue to my skinne.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 6] I am like a pelicane of the wildernesse: I am like an owle of the deserts.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 7] I watch and am as a sparrowe alone vpon the house top.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 8] Mine enemies reuile me dayly, and they that rage against me, haue sworne against me.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 9] Surely I haue eaten asshes as bread, and mingled my drinke with weeping,
[GNV | EN | OT | Psalms | Chapter 102 | Verse 10] Because of thine indignation and thy wrath: for thou hast heaued me vp, and cast me downe.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 11] My dayes are like a shadowe that fadeth, and I am withered like grasse.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 12] But thou, O Lord, doest remaine for euer, and thy remembrance from generation to generation.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 13] Thou wilt arise and haue mercy vpon Zion: for the time to haue mercie thereon, for the appointed time is come.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 14] For thy seruants delite in the stones thereof, and haue pitie on the dust thereof.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 15] Then the heathen shall feare the Name of the Lord, and all the Kings of the earth thy glory,
[GNV | EN | OT | Psalms | Chapter 102 | Verse 16] When the Lord shall build vp Zion, and shall appeare in his glory,
[GNV | EN | OT | Psalms | Chapter 102 | Verse 17] And shall turne vnto the prayer of the desolate, and not despise their prayer.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 18] This shall be written for the generation to come: and the people, which shalbe created, shall prayse the Lord.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 19] For he hath looked downe from the height of his Sanctuarie: out of the heauen did the Lord beholde the earth,
[GNV | EN | OT | Psalms | Chapter 102 | Verse 20] That he might heare the mourning of the prisoner, and deliuer the children of death:
[GNV | EN | OT | Psalms | Chapter 102 | Verse 21] That they may declare the Name of the Lord in Zion, and his prayse in Ierusalem,
[GNV | EN | OT | Psalms | Chapter 102 | Verse 22] When the people shalbe gathered together, and the kingdomes to serue the Lord.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 23] He abated my strength in the way, and shortened my dayes.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 24] And I sayd, O my God, take me not away in the middes of my dayes: thy yeeres endure from generation to generation.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 25] Thou hast aforetime layde the foundation of the earth, and the heauens are the worke of thine hands.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 26] They shall perish, but thou shalt endure: euen they all shall waxe olde as doeth a garment: as a vesture shalt thou change them, and they shall be changed.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 27] But thou art the same, and thy yeeres shall not fayle.
[GNV | EN | OT | Psalms | Chapter 102 | Verse 28] The children of thy seruants shall continue, and their seede shall stand fast in thy sight.
