[GNV | EN | OT | Psalms | Chapter 88 | Verse 1] A song or Psalme of Heman the Ezrahite to give instruction, committed to the sonnes of Korah for him that excelleth upon Malath Leannoth. O Lord God of my saluation, I cry day and night before thee.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 2] Let my prayer enter into thy presence: incline thine eare vnto my cry.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 3] For my soule is filled with euils, and my life draweth neere to the graue.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted among them that go downe vnto the pit, and am as a man without strength:
[GNV | EN | OT | Psalms | Chapter 88 | Verse 5] Free among the dead, like the slaine lying in the graue, whome thou remembrest no more, and they are cut off from thine hand.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 6] Thou hast layde me in the lowest pit, in darkenes, and in the deepe.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 7] Thine indignation lyeth vpon me, and thou hast vexed me with all thy waues. Selah.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 8] Thou hast put away mine acquaintance farre from me, and made mee to be abhorred of them: I am shut vp, and cannot get foorth.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 9] Mine eye is sorowfull through mine affliction: Lord, I call dayly vpon thee: I stretch out mine hands vnto thee.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 10] Wilt thou shewe a miracle to the dead? or shall the dead rise and prayse thee? Selah.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 11] Shall thy louing kindenes be declared in the graue? or thy faithfulnes in destruction?
[GNV | EN | OT | Psalms | Chapter 88 | Verse 12] Shall thy wonderous workes be knowen in the darke? and thy righteousnes in the land of obliuion?
[GNV | EN | OT | Psalms | Chapter 88 | Verse 13] But vnto thee haue I cryed, O Lord, and early shall my prayer come before thee.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 14] Lord, why doest thou reiect my soule, and hidest thy face from me?
[GNV | EN | OT | Psalms | Chapter 88 | Verse 15] I am afflicted and at the point of death: from my youth I suffer thy terrours, doubting of my life.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 16] Thine indignations goe ouer me, and thy feare hath cut me off.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 17] They came round about me dayly like water, and compassed me together.
[GNV | EN | OT | Psalms | Chapter 88 | Verse 18] My louers and friends hast thou put away from me, and mine acquaintance hid themselues.
