[GNV | EN | OT | Psalms | Chapter 107 | Verse 1] Praise the Lord, because he is good: for his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 2] Let them, which haue bene redeemed of the Lord, shewe how he hath deliuered them from the hand of the oppressour,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 3] And gathered them out of the lands, from the East and from the West, from the North and from the South.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 4] When they wandered in the desert and wildernesse out of the waie, and founde no citie to dwell in,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 5] Both hungrie and thirstie, their soule fainted in them.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 6] Then they cried vnto the Lord in their trouble, and he deliuered them from their distresse,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 7] And led them forth by the right way, that they might goe to a citie of habitation.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 8] Let them therefore confesse before ye Lord his louing kindnesse, and his wonderfull woorkes before the sonnes of men.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 9] For he satisfied the thirstie soule, and filled the hungrie soule with goodnesse.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 10] They that dwell in darkenesse and in the shadowe of death, being bounde in miserie and yron,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 11] Because they rebelled against the wordes of the Lord, and despised the counsell of the most High,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 12] When he humbled their heart with heauines, then they fell downe and there was no helper.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 13] Then they cried vnto the Lord in their trouble, and he deliuered them from their distresse.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 14] He brought them out of darkenes, and out of the shadowe of death, and brake their bandes asunder.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 15] Let them therefore cofesse before the Lord his louing kindnesse, and his wonderfull woorkes before the sonnes of men.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 16] For hee hath broken the gates of brasse, and brast the barres of yron asunder.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 17] Fooles by reason of their transgression, and because of their iniquities are afflicted.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 18] Their soule abhorreth al meat, and they are brought to deaths doore.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 19] Then they crie vnto the Lord in their trouble, and he deliuereth them from their distresse.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 20] He sendeth his worde and healeth them, and deliuereth them from their graues.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 21] Let them therefore cofesse before the Lord his louing kindnesse, and his wonderful workes before the sonnes of men,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 22] And let them offer sacrifices of praise, and declare his workes with reioycing.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 23] They that goe downe to the sea in ships, and occupie by the great waters,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 24] They see the woorkes of the Lord, and his wonders in the deepe.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 25] For he commaundeth and raiseth the stormie winde, and it lifteth vp the waues thereof.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 26] They mount vp to the heauen, and descend to ye deepe, so that their soule melteth for trouble.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 27] They are tossed to and from, and stagger like a drunken man, and all their cunning is gone.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 28] Then they crie vnto the Lord in their trouble, and he bringeth them out of their distresse.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 29] He turneth the storme to calme, so that the waues thereof are still.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 30] When they are quieted, they are glad, and hee bringeth them vnto the hauen, where they would be.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 31] Let them therfore confesse before the Lord his louing kindnesse, and his wonderfull woorkes before the sonnes of men.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 32] And let them exalt him in the Congregation of the people, and praise him in the assembly of the Elders.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 33] He turneth the floodes into a wildernesse, and the springs of waters into drinesse,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 34] And a fruitfull land into barrennes for the wickednes of them that dwell therein.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 35] Againe hee turneth the wildernesse into pooles of water, and the drie lande into water springs.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 36] And there he placeth the hungrie, and they builde a citie to dwell in,
[GNV | EN | OT | Psalms | Chapter 107 | Verse 37] And sowe the fieldes, and plant vineyardes, which bring foorth fruitfull increase.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 38] For he blesseth them, and they multiplie exceedingly, and he diminisheth not their cattell.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 39] Againe men are diminished, and brought lowe by oppression, euill and sorowe.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 40] He powreth contempt vpon princes, and causeth them to erre in desert places out of the way.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 41] Yet he raiseth vp the poore out of miserie, and maketh him families like a flocke of sheepe.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 42] The righteous shall see it, and reioyce, and all iniquitie shall stoppe her mouth.
[GNV | EN | OT | Psalms | Chapter 107 | Verse 43] Who is wise that hee may obserue these things? for they shall vnderstand the louing kindnesse of the Lord.
