[GNV | EN | OT | Psalms | Chapter 33 | Verse 1] Rejoice in the Lord, O ye righteous: for it becommeth vpright men to be thankefull.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 2] Prayse the Lord with harpe: sing vnto him with viole and instrument of ten strings.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 3] Sing vnto him a newe song: sing cheerefully with a loude voyce.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 4] For the word of the Lord is righteous, and all his workes are faithfull.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 5] He loueth righteousnesse and iudgement: the earth is full of the goodnesse of the Lord.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 6] By the worde of the Lord were the heauens made, and all the hoste of them by the breath of his mouth.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 7] He gathereth the waters of the sea together as vpon an heape, and layeth vp the depths in his treasures.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 8] Let all the earth feare the Lord: let al them that dwell in the world, feare him.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 9] For he spake, and it was done: he commanded, and it stood.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 10] The Lord breaketh the counsell of the heathen, and bringeth to nought the deuices of the people.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 11] The counsell of the Lord shall stand for euer, and the thoughts of his heart throughout all ages.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 12] Blessed is that nation, whose God is the Lord: euen the people that he hath chosen for his inheritance.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 13] The Lord looketh downe from heauen, and beholdeth all the children of men.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 14] From the habitation of his dwelling he beholdeth all them that dwell in the earth.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 15] He facioneth their hearts euery one, and vnderstandeth all their workes.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 16] The King is not saued by the multitude of an hoste, neither is the mightie man deliuered by great strength.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 17] A horse is a vaine helpe, and shall not deliuer any by his great strength.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 18] Beholde, the eye of the Lord is vpon them that feare him, and vpon them, that trust in his mercie,
[GNV | EN | OT | Psalms | Chapter 33 | Verse 19] To deliuer their soules from death, and to preserue them in famine.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 20] Our soule waiteth for the Lord: for he is our helpe and our shielde.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 21] Surely our heart shall reioyce in him, because we trusted in his holy Name.
[GNV | EN | OT | Psalms | Chapter 33 | Verse 22] Let thy mercie, O Lord, be vpon vs, as we trust in thee.
