[GNV | EN | OT | Psalms | Chapter 108 | Verse 1] A song or Psalme of David. O God, mine heart is prepared, so is my tongue: I will sing and giue praise.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 2] Awake viole and harpe: I will awake early.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 3] I will praise thee, O Lord, among the people, and I wil sing vnto thee among the nations.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 4] For thy mercy is great aboue the heauens, and thy trueth vnto the clouds.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 5] Exalt thy self, O God, aboue the heauens, and let thy glorie be vpon all the earth,
[GNV | EN | OT | Psalms | Chapter 108 | Verse 6] That thy beloued may be deliuered: helpe with thy right hand and heare me.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 7] God hath spoken in his holinesse: therefore I will reioyce, I shall deuide Shechem and measure the valley of Succoth.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 8] Gilead shalbe mine, and Manasseh shalbe mine: Ephraim also shalbe the strength of mine head: Iuda is my lawgiuer.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 9] Moab shalbe my washpot: ouer Edom wil I cast out my shoe: vpon Palestina wil I triumph.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 10] Who will leade mee into the strong citie? who will bring me vnto Edom?
[GNV | EN | OT | Psalms | Chapter 108 | Verse 11] Wilt not thou, O God, which haddest forsaken vs, and diddest not goe foorth, O God, with our armies?
[GNV | EN | OT | Psalms | Chapter 108 | Verse 12] Giue vs helpe against trouble: for vaine is the helpe of man.
[GNV | EN | OT | Psalms | Chapter 108 | Verse 13] Through God we shall doe valiantly: for he shall treade downe our enemies.
