[GNV | EN | OT | Psalms | Chapter 94 | Verse 1] O Lord God the auenger, O God the auenger, shewe thy selfe clearely.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 2] Exalt thy selfe, O Iudge of the worlde, and render a reward to the proude.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 3] Lord how long shall the wicked, how long shall the wicked triumph?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 4] They prate and speake fiercely: all the workers of iniquitie vaunt themselues.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 5] They smite downe thy people, O Lord, and trouble thine heritage.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 6] They slay the widowe and the stranger, and murder the fatherlesse.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 7] Yet they say, The Lord shall not see: neither will the God of Iaakob regard it.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 8] Vnderstande ye vnwise among the people: and ye fooles, when will ye be wise?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 9] Hee that planted the eare, shall hee not heare? or he that formed the eye, shall he not see?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 10] Or he that chastiseth the nations, shall he not correct? hee that teacheth man knowledge, shall he not knowe?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 11] The Lord knoweth the thoughtes of man, that they are vanitie.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 12] Blessed is the man, whom thou chastisest, O Lord, and teachest him in thy Lawe,
[GNV | EN | OT | Psalms | Chapter 94 | Verse 13] That thou mayest giue him rest from the dayes of euill, whiles the pitte is digged for the wicked.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 14] Surely the Lord will not faile his people, neither will he forsake his inheritance.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 15] For iudgement shall returne to iustice, and all the vpright in heart shall follow after it.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 16] Who will rise vp with me against the wicked? or who will take my part against the workers of iniquitie?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 17] If the Lord had not holpen me, my soule had almost dwelt in silence.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 18] When I said, My foote slideth, thy mercy, O Lord, stayed me.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 19] In the multitude of my thoughts in mine heart, thy comfortes haue reioyced my soule.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 20] Hath the throne of iniquitie fellowship with thee, which forgeth wrong for a Lawe?
[GNV | EN | OT | Psalms | Chapter 94 | Verse 21] They gather them together against the soule of the righteous, and condemne the innocent blood.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 22] But the Lord is my refuge, and my God is the rocke of mine hope.
[GNV | EN | OT | Psalms | Chapter 94 | Verse 23] And hee will recompence them their wickednes, and destroy them in their owne malice: yea, the Lord our God shall destroy them.
