[GNV | EN | OT | Psalms | Chapter 72 | Verse 1] A Psalme of Salomon. Give thy iudgements to the King, O God, and thy righteousnesse to the Kings sonne.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 2] Then shall he iudge thy people in righteousnesse, and thy poore with equitie.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 3] The mountaines and the hilles shall bring peace to the people by iustice.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 4] He shall iudge the poore of the people: he shall saue the children of the needie, and shall subdue the oppressor.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 5] They shall feare thee as long as the sunne and moone endureth, from generatio to generation.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 6] He shall come downe like the rayne vpon the mowen grasse, and as the showres that water the earth.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 7] In his dayes shall the righteous florish, and abundance of peace shalbe so long as the moone endureth.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 8] His dominion shall be also from sea to sea, and from the Riuer vnto the endes of the land.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 9] They that dwell in ye wildernes, shall kneele before him, and his enemies shall licke the dust.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 10] The Kings of Tarshish and of the yles shall bring presents: the Kings of Sheba and Seba shall bring giftes.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 11] Yea, all Kings shall worship him: all nations shall serue him.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 12] For he shall deliuer the poore when he cryeth: the needie also, and him that hath no helper.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 13] He shalbe mercifull to the poore and needie, and shall preserue the soules of the poore.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 14] He shall redeeme their soules from deceite and violence, and deare shall their blood be in his sight.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 15] Yea, he shall liue, and vnto him shall they giue of the golde of Sheba: they shall also pray for him continually, and dayly blesse him.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 16] An handfull of corne shall be sowen in the earth, euen in the toppe of the mountaines, and the fruite thereof shall shake like the trees of Lebanon: and the children shall florish out of the citie like the grasse of the earth.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 17] His name shall be for euer: his name shall indure as long as the sunne: all nations shall blesse him, and be blessed in him.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 18] Blessed be the Lord God, euen the God of Israel, which onely doeth wonderous things.
[GNV | EN | OT | Psalms | Chapter 72 | Verse 19] And blessed be his glorious Name for euer: and let all the earth be filled with his glorie. So be it, euen so be it. HERE END THE prayers of Dauid, the sonne of Ishai.
