[GNV | EN | OT | Psalms | Chapter 91 | Verse 1] Who so dwelleth in the secrete of the most High, shall abide in the shadowe of the Almightie.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 2] I will say vnto the Lord, O mine hope, and my fortresse: he is my God, in him will I trust.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 3] Surely he will deliuer thee from the snare of the hunter, and from the noysome pestilence.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 4] Hee will couer thee vnder his winges, and thou shalt be sure vnder his feathers: his trueth shall be thy shielde and buckler.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 5] Thou shalt not be afraide of the feare of the night, nor of the arrowe that flyeth by day:
[GNV | EN | OT | Psalms | Chapter 91 | Verse 6] Nor of the pestilence that walketh in the darkenesse: nor of the plague that destroyeth at noone day.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 7] A thousand shall fall at thy side, and tenne thousand at thy right hand, but it shall not come neere thee.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 8] Doubtlesse with thine eyes shalt thou beholde and see the reward of the wicked.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 9] For thou hast said, The Lord is mine hope: thou hast set the most High for thy refuge.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 10] There shall none euill come vnto thee, neither shall any plague come neere thy tabernacle.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 11] For hee shall giue his Angels charge ouer thee to keepe thee in all thy wayes.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 12] They shall beare thee in their handes, that thou hurt not thy foote against a stone.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 13] Thou shalt walke vpon the lyon and aspe: the yong lyon and the dragon shalt thou treade vnder feete.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 14] Because he hath loued me, therefore will I deliuer him: I will exalt him because hee hath knowen my Name.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 15] He shall call vpon me, and I wil heare him: I will be with him in trouble: I will deliuer him, and glorifie him.
[GNV | EN | OT | Psalms | Chapter 91 | Verse 16] With long life wil I satisfie him, and shew him my saluation.
