[GNV | EN | OT | Psalms | Chapter 109 | Verse 1] To him that excelleth. A Psalme of David. Holde not thy tongue, O God of my praise.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 2] For the mouth of the wicked, and the mouth full of deceite are opened vpon me: they haue spoken to me with a lying tongue.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 3] They compassed me about also with words of hatred, and fought against me without a cause.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 4] For my friendship they were mine aduersaries, but I gaue my selfe to praier.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 5] And they haue rewarded me euil for good, and hatred for my friendship.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 6] Set thou the wicked ouer him, and let the aduersarie stand at his right hand.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 7] Whe he shalbe iudged, let him be condemned, and let his praier be turned into sinne.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 8] Let his daies be fewe, and let another take his charge.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 9] Let his children be fatherlesse, and his wife a widowe.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 10] Let his children be vagabonds and beg and seeke bread, comming out of their places destroyed.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 11] Let the extortioner catch al that he hath, and let the strangers spoile his labour.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 12] Let there be none to extend mercie vnto him: neither let there be any to shewe mercie vpon his fatherlesse children.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 13] Let his posteritie be destroied, and in the generation following let their name be put out.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 14] Let the iniquitie of his fathers bee had in remembrance with the Lord: and let not the sinne of his mother be done away.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 15] But let them alway be before the Lord, that he may cut off their memorial from ye earth.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 16] Because he remembred not to shew mercie, but persecuted the afflicted and poore man, and the sorowfull hearted to slay him.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 17] As he loued cursing, so shall it come vnto him, and as he loued not blessing, so shall it be farre from him.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 18] As he clothed himselfe with cursing like a rayment, so shall it come into his bowels like water, and like oyle into his bones.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be vnto him as a garment to couer him, and for a girdle, wherewith he shalbe alway girded.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 20] Let this be the rewarde of mine aduersarie from the Lord, and of them, that speake euill against my soule.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 21] But thou, O Lord my God, deale with me according vnto thy Name: deliuer me, (for thy mercie is good)
[GNV | EN | OT | Psalms | Chapter 109 | Verse 22] Because I am poore and needie, and mine heart is wounded within me.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 23] I depart like the shadowe that declineth, and am shaken off as the grashopper.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are weake through fasting, and my flesh hath lost all fatnes.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 25] I became also a rebuke vnto them: they that looked vpon me, shaked their heads.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 26] Helpe me, O Lord my God: saue me according to thy mercie.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 27] And they shall know, that this is thine hand, and that thou, Lord, hast done it.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 28] Though they curse, yet thou wilt blesse: they shall arise and be confounded, but thy seruant shall reioyce.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 29] Let mine aduersaries be clothed with shame, and let them couer themselues with their confusion, as with a cloke.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 30] I will giue thankes vnto the Lord greatly with my mouth and praise him among ye multitude.
[GNV | EN | OT | Psalms | Chapter 109 | Verse 31] For he will stand at the right hand of the poore, to saue him from them that woulde condemne his soule.
