[GNV | EN | OT | Psalms | Chapter 10 | Verse 1] Why standest thou farre off, O Lord, and hidest thee in due time, euen in affliction?
[GNV | EN | OT | Psalms | Chapter 10 | Verse 2] The wicked with pride doeth persecute the poore: let them be taken in the craftes that they haue imagined.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 3] For the wicked hath made boast of his owne heartes desire, and the couetous blesseth himselfe: he contemneth the Lord.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 4] The wicked is so proude that hee seeketh not for God: hee thinketh alwayes, There is no God.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 5] His wayes alway prosper: thy iudgements are hie aboue his sight: therefore defieth he all his enemies.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 6] He saith in his heart, I shall neuer be moued, nor be in danger.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 7] His mouth is full of cursing and deceite and fraude: vnder his tongue is mischiefe and iniquitie.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 8] He lieth in waite in the villages: in the secret places doeth hee murder the innocent: his eyes are bent against the poore.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 9] He lyeth in waite secretly, euen as a lyon in his denne: he lyeth in waite to spoyle the poore: he doeth spoyle the poore, when he draweth him into his net.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 10] He croucheth and boweth: therefore heaps of the poore doe fall by his might.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 11] He hath said in his heart, God hath forgotten, he hideth away his face, and will neuer see.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 12] Arise, O Lord God: lift vp thine hande: forget not the poore.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 13] Wherefore doeth the wicked contemne God? he saith in his heart, Thou wilt not regard.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 14] Yet thou hast seene it: for thou beholdest mischiefe and wrong, that thou mayest take it into thine handes: the poore committeth himselfe vnto thee: for thou art the helper of the fatherlesse.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 15] Breake thou the arme of the wicked and malicious: searche his wickednes, and thou shalt finde none.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 16] The Lord is King for euer and euer: the heathen are destroyed foorth of his land.
[GNV | EN | OT | Psalms | Chapter 10 | Verse 17] Lord, thou hast heard the desire of the poore: thou preparest their heart: thou bendest thine eare to them,
[GNV | EN | OT | Psalms | Chapter 10 | Verse 18] To iudge the fatherlesse and poore, that earthly man cause to feare no more.
