[GNV | EN | OT | Psalms | Chapter 115 | Verse 1] Not vnto vs, O Lord, not vnto vs, but vnto thy Name giue the glorie, for thy louing mercie and for thy truethes sake.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 2] Wherefore shall the heathen say, Where is nowe their God?
[GNV | EN | OT | Psalms | Chapter 115 | Verse 3] But our God is in heauen: he doeth what so euer he will.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 4] Their idoles are siluer and golde, euen the worke of mens hands.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 5] They haue a mouth and speake not: they haue eyes and see not.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 6] They haue eares and heare not: they haue noses and smelll not.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 7] They haue handes and touche not: they haue feete and walke not: neither make they a sound with their throte.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 8] They that make them are like vnto them: so are all that trust in them.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 9] O Israel, trust thou in the Lord: for he is their helpe and their shielde.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 10] O house of Aaron, trust ye in the Lord: for he is their helpe and their shielde.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 11] Ye that feare the Lord, trust in the Lord: for he is their helper and their shield.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 12] The Lord hath bene mindfull of vs: he will blesse, he will blesse the house of Israel, he will blesse the house of Aaron.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 13] He will blesse them that feare the Lord, both small and great.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 14] The Lord will increase his graces towarde you, euen toward you and toward your children.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 15] Ye are blessed of the Lord, which made the heauen and the earth.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 16] The heauens, euen the heauens are the Lordes: but he hath giuen the earth to the sonnes of men.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 17] The dead prayse not the Lord, neither any that goe downe into the place of silence.
[GNV | EN | OT | Psalms | Chapter 115 | Verse 18] But we will prayse the Lord from henceforth and for euer. Prayse ye the Lord.
