[GNV | EN | OT | Psalms | Chapter 9 | Verse 1] To him that excelleth vpon Muth Laben. A Psalme of Dauid. I will praise the Lord with my whole heart: I will speake of all thy marueilous workes.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 2] I will bee glad, and reioyce in thee: I will sing praise to thy Name, O most High,
[GNV | EN | OT | Psalms | Chapter 9 | Verse 3] For that mine enemies are turned backe: they shall fall, and perish at thy presence.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 4] For thou hast maintained my right and my cause: thou art set in the throne, and iudgest right.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 5] Thou hast rebuked the heathen: thou hast destroyed the wicked: thou hast put out their name for euer and euer.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 6] O enemie, destructions are come to a perpetual end, and thou hast destroyed the cities: their memoriall is perished with them.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 7] But the Lord shall sit for euer: hee hath prepared his throne for iudgement.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 8] For he shall iudge the worlde in righteousnes, and shall iudge the people with equitie.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 9] The Lord also wil be a refuge for the poore, a refuge in due time, euen in affliction.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 10] And they that know thy Name, will trust in thee: for thou, Lord, hast not failed them that seeke thee.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 11] Sing praises to the Lord, which dwelleth in Zion: shewe the people his workes.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 12] For whe he maketh inquisition for blood, hee remembreth it, and forgetteth not the complaint of the poore.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 13] Haue mercie vpon mee, O Lord: consider my trouble which I suffer of them that hate mee, thou that liftest me vp from the gates of death,
[GNV | EN | OT | Psalms | Chapter 9 | Verse 14] That I may shewe all thy praises within the gates of the daughter of Zion, and reioyce in thy saluation.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 15] The heathen are sunken downe in the pit that they made: in the nette that they hid, is their foote taken.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 16] The Lord is knowen by executing iudgement: the wicked is snared in the worke of his owne handes. Higgaion. Selah.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked shall turne into hell, and all nations that forget God.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 18] For the poore shall not bee alway forgotten: the hope of the afflicted shall not perish for euer.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 19] Vp Lord: let not man preuaile: let the heathen be iudged in thy sight.
[GNV | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in feare, O Lord, that the heathen may knowe that they are but men. Selah.
