[GNV | EN | OT | Psalms | Chapter 118 | Verse 1] Praise yee the Lord, because he is good: for his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 2] Let Israel now say, That his mercy endureth for euer.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 3] Let the house of Aaron nowe say, That his mercy endureth for euer.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 4] Let them, that feare the Lord, nowe say, That his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 5] I called vpon the Lord in trouble, and the Lord heard me, and set me at large.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 6] The Lord is with mee: therefore I will not feare what man can doe vnto me.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 7] The Lord is with mee among them that helpe me: therefore shall I see my desire vpon mine enemies.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 8] It is better to trust in the Lord, then to haue confidence in man.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 9] It is better to trust in the Lord, then to haue confidence in princes.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 10] All nations haue compassed me: but in the Name of the Lord shall I destroy them.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 11] They haue compassed mee, yea, they haue compassed mee: but in the Name of the Lord I shall destroy them.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 12] They came about mee like bees, but they were quenched as a fire of thornes: for in the Name of the Lord I shall destroy them.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 13] Thou hast thrust sore at me, that I might fall: but the Lord hath holpen me.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 14] The Lord is my strength and song: for he hath beene my deliuerance.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 15] The voice of ioy and deliuerance shall be in the tabernacles of the righteous, saying, The right hand of the Lord hath done valiantly.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 16] The right hand of the Lord is exalted: the right hand of the Lord hath done valiantly.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 17] I shall not die, but liue, and declare the woorkes of the Lord.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 18] The Lord hath chastened me sore, but he hath not deliuered me to death.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 19] Open ye vnto me the gates of righteousnes, that I may goe into them, and praise the Lord.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 20] This is the gate of the Lord: the righteous shall enter into it.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 21] I will praise thee: for thou hast heard mee, and hast beene my deliuerance.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 22] The stone, which the builders refused, is the head of the corner.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 23] This was the Lordes doing, and it is marueilous in our eyes.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 24] This is the day, which the Lord hath made: let vs reioyce and be glad in it.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 25] O Lord, I praie thee, saue now: O Lord, I praie thee nowe giue prosperitie.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed be he, that commeth in the Name of the Lord: wee haue blessed you out of the house of the Lord.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 27] The Lord is mightie, and hath giuen vs light: binde the sacrifice with cordes vnto the hornes of the altar.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 28] Thou art my God, and I will praise thee, euen my God: therefore I will exalt thee.
[GNV | EN | OT | Psalms | Chapter 118 | Verse 29] Praise ye the Lord, because he is good: for his mercie endureth for euer.
