[GNV | EN | OT | Psalms | Chapter 50 | Verse 1] A Psalme of Asaph. The God of Gods, euen the Lord hath spoken and called the earth from the rising vp of the sunne vnto the going downe thereof.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 2] Out of Zion, which is the perfection of beautie, hath God shined.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 3] Our God shall come and shall not keepe silence: a fire shall deuoure before him, and a mightie tempest shall be mooued round about him.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 4] Hee shall call the heauen aboue, and the earth to iudge his people.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 5] Gather my Saints together vnto me, those that make a couenant with me with sacrifice.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 6] And the heauens shall declare his righteousnes: for God is iudge himselfe. Selah.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 7] Heare, O my people, and I wil speake: heare, O Israel, and I wil testifie vnto thee: for I am God, euen thy God.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 8] I wil not reproue thee for thy sacrifices, or thy burnt offerings, that haue not bene continually before me.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 9] I will take no bullocke out of thine house, nor goates out of thy foldes.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 10] For all the beastes of the forest are mine, and the beastes on a thousand mountaines.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 11] I knowe all the foules on the mountaines: and the wilde beastes of the fielde are mine.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 12] If I bee hungry, I will not tell thee: for the world is mine, and all that therein is.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 13] Will I eate the flesh of bulles? or drinke the blood of goates?
[GNV | EN | OT | Psalms | Chapter 50 | Verse 14] Offer vnto God praise, and pay thy vowes vnto the most High,
[GNV | EN | OT | Psalms | Chapter 50 | Verse 15] And call vpon me in the day of trouble: so will I deliuer thee, and thou shalt glorifie me.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 16] But vnto the wicked said God, What hast thou to doe to declare mine ordinances, that thou shouldest take my couenant in thy mouth,
[GNV | EN | OT | Psalms | Chapter 50 | Verse 17] Seeing thou hatest to bee reformed, and hast cast my wordes behinde thee?
[GNV | EN | OT | Psalms | Chapter 50 | Verse 18] For when thou seest a thiefe, thou runnest with him, and thou art partaker with the adulterers.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 19] Thou giuest thy mouth to euill, and with thy tongue thou forgest deceit.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 20] Thou sittest, and speakest against thy brother, and slanderest thy mothers sonne.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 21] These things hast thou done, and I held my tongue: therefore thou thoughtest that I was like thee: but I will reproue thee, and set them in order before thee.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 22] Oh cosider this, ye that forget God, least I teare you in pieces, and there be none that can deliuer you.
[GNV | EN | OT | Psalms | Chapter 50 | Verse 23] He that offereth praise, shall glorifie mee: and to him, that disposeth his way aright, will I shew the saluation of God.
