[GNV | EN | OT | Psalms | Chapter 44 | Verse 1] To him that excelleth. A Psalme to give instruction, committed to the sonnes of Korah. We haue heard with our eares, O God: our fathers haue tolde vs the workes, that thou hast done in their dayes, in the olde time:
[GNV | EN | OT | Psalms | Chapter 44 | Verse 2] Howe thou hast driuen out the heathen with thine hand, and planted them: how thou hast destroyed the people, and caused them to grow.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 3] For they inherited not the lande by their owne sworde, neither did their owne arme saue them: but thy right hand, and thine arme and the light of thy countenance, because thou didest fauour them.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 4] Thou art my King, O God: send helpe vnto Iaakob.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 5] Through thee haue we thrust backe our aduersaries: by thy Name haue we troden downe them that rose vp against vs.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 6] For I do not trust in my bowe, neither can my sworde saue me.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 7] But thou hast saued vs from our aduersaries, and hast put them to confusion that hate vs.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 8] Therefore will wee praise God continually, and will confesse thy Name for euer. Selah.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 9] But now thou art farre off, and puttest vs to confusion, and goest not forth with our armies.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 10] Thou makest vs to turne backe from the aduersary, and they, which hate vs, spoile for theselues.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 11] Thou giuest vs as sheepe to bee eaten, and doest scatter vs among the nations.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 12] Thou sellest thy people without gaine, and doest not increase their price.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 13] Thou makest vs a reproche to our neighbours, a iest and a laughing stocke to them that are round about vs.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 14] Thou makest vs a prouerbe among the nations, and a nodding of the head among the people.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 15] My confusion is dayly before me, and the shame of my face hath couered me,
[GNV | EN | OT | Psalms | Chapter 44 | Verse 16] For the voyce of the slaunderer and rebuker, for the enemie and auenger.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 17] All this is come vpon vs, yet doe wee not forget thee, neither deale wee falsly concerning thy couenant.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 18] Our heart is not turned backe: neither our steps gone out of thy paths,
[GNV | EN | OT | Psalms | Chapter 44 | Verse 19] Albeit thou hast smitten vs downe into the place of dragons, and couered vs with the shadow of death.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 20] If wee haue forgotten the Name of our God, and holden vp our hands to a strange god,
[GNV | EN | OT | Psalms | Chapter 44 | Verse 21] Shall not God searche this out? for hee knoweth the secrets of the heart.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 22] Surely for thy sake are we slaine continually, and are counted as sheepe for the slaughter.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 23] Vp, why sleepest thou, O Lord? awake, be not farre off for euer.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 24] Wherefore hidest thou thy face? and forgettest our miserie and our affliction?
[GNV | EN | OT | Psalms | Chapter 44 | Verse 25] For our soule is beaten downe vnto the dust: our belly cleaueth vnto the ground.
[GNV | EN | OT | Psalms | Chapter 44 | Verse 26] Rise vp for our succour, and redeeme vs for thy mercies sake.
