[GNV | EN | OT | Psalms | Chapter 25 | Verse 1] A Psalme of David. Unto thee, O Lord, lift I vp my soule.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 2] My God, I trust in thee: let me not be confounded: let not mine enemies reioyce ouer mee.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 3] So all that hope in thee, shall not be ashamed: but let them be confounded, that transgresse without cause.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 4] Shew me thy waies, O Lord, and teache me thy paths.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 5] Leade me foorth in thy trueth, and teache me: for thou art the God of my saluation: in thee doe I trust all the day.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 6] Remember, O Lord, thy tender mercies, and thy louing kindnesse: for they haue beene for euer.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 7] Remember not the sinnes of my youth, nor my rebellions, but according to thy kindenesse remember thou me, euen for thy goodnesse sake, O Lord.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 8] Gracious and righteous is the Lord: therefore will he teache sinners in the way.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 9] Them that be meeke, will hee guide in iudgement, and teach the humble his way.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 10] All the pathes of the Lord are mercie and trueth vnto such as keepe his couenant and his testimonies.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 11] For thy Names sake, O Lord, be merciful vnto mine iniquitie, for it is great.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 12] What man is he that feareth the Lord? him wil he teache the way that hee shall chuse.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 13] His soule shall dwell at ease, and his seede shall inherite the land.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 14] The secrete of the Lord is reueiled to them, that feare him: and his couenant to giue them vnderstanding.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 15] Mine eyes are euer towarde the Lord: for he will bring my feete out of the net.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 16] Turne thy face vnto mee, and haue mercie vpon me: for I am desolate and poore.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 17] The sorowes of mine heart are enlarged: drawe me out of my troubles.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 18] Looke vpon mine affliction and my trauel, and forgiue all my sinnes.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 19] Beholde mine enemies, for they are manie, and they hate me with cruell hatred.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 20] Keepe my soule, and deliuer me: let me not be confounded, for I trust in thee.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 21] Let mine vprightnes and equitie preserue me: for mine hope is in thee.
[GNV | EN | OT | Psalms | Chapter 25 | Verse 22] Deliuer Israel, O God, out of all his troubles.
