[GNV | EN | OT | Psalms | Chapter 5 | Verse 1] To him that excelleth upon Nehiloth. A Psalme of Dauid. Heare my wordes, O Lord: vnderstande my meditation.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 2] Hearken vnto the voyce of my crie, my King and my God: for vnto thee doe I pray.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 3] Heare my voyce in the morning, O Lord: for in the morning will I direct me vnto thee, and I will waite.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 4] For thou art not a God that loueth wickednes: neither shall euill dwell with thee.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 5] The foolish shall not stand in thy sight: for thou hatest all them that worke iniquitie.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 6] Thou shalt destroy them that speake lyes: the Lord will abhorre the bloodie man and deceitfull.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 7] But I wil come into thine house in the multitude of thy mercie: and in thy feare will I worship toward thine holy Temple.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 8] Leade me, O Lord, in thy righteousnes, because of mine enemies: make thy way plaine before my face.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 9] For no constancie is in their mouth: within, they are very corruption: their throte is an open sepulchre, and they flatter with their tongue.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 10] Destroy them, O God: let them fall from their counsels: cast them out for the multitude of their iniquities, because they haue rebelled against thee.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 11] And let all them that trust in thee, reioyce and triumph for euer, and couer thou them: and let them, that loue thy Name, reioyce in thee.
[GNV | EN | OT | Psalms | Chapter 5 | Verse 12] For thou Lord wilt blesse the righteous, and with fauour wilt compasse him, as with a shielde.
