[GNV | EN | OT | Psalms | Chapter 148 | Verse 1] Praise ye the Lord. Praise ye the Lord from the heauen: prayse ye him in the high places.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 2] Prayse ye him, all ye his Angels: praise him, all his armie.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 3] Prayse ye him, sunne and moone: prayse ye him all bright starres.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 4] Prayse ye him, heauens of heauens, and waters, that be aboue the heauens.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 5] Let them prayse the Name of the Lord: for he commanded, and they were created.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 6] And he hath established them for euer and euer: he hath made an ordinance, which shall not passe.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 7] Prayse ye the Lord from the earth, ye dragons and all depths:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 8] Fire and hayle, snowe and vapours, stormie winde, which execute his worde:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 9] Mountaines and all hils, fruitfull trees and all ceders:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 10] Beasts and all cattell, creeping things and fethered foules:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of the earth and all people, princes and all iudges of the worlde:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 12] Yong men and maidens, also olde men and children:
[GNV | EN | OT | Psalms | Chapter 148 | Verse 13] Let them prayse the Name of the Lord: for his Name onely is to be exalted, and his prayse aboue the earth and the heauens.
[GNV | EN | OT | Psalms | Chapter 148 | Verse 14] For he hath exalted the horne of his people, which is a prayse for all his Saintes, euen for the children of Israel, a people that is neere vnto him. Prayse ye the Lord.
