[GNV | EN | OT | Psalms | Chapter 73 | Verse 1] A Psalme committed to Asaph. Yet God is good to Israel: euen, to the pure in heart.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 2] As for me, my feete were almost gone: my steps had well neere slipt.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 3] For I feared at the foolish, when I sawe the prosperitie of the wicked.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 4] For there are no bandes in their death, but they are lustie and strong.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 5] They are not in trouble as other men, neither are they plagued with other men.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 6] Therefore pride is as a chayne vnto them, and crueltie couereth them as a garment.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 7] Their eyes stande out for fatnesse: they haue more then heart can wish.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 8] They are licentious, and speake wickedly of their oppression: they talke presumptuously.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 9] They set their mouth against heauen, and their tongue walketh through the earth.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 10] Therefore his people turne hither: for waters of a full cup are wrung out to them.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 11] And they say, Howe doeth God know it? or is there knowledge in the most High?
[GNV | EN | OT | Psalms | Chapter 73 | Verse 12] Lo, these are the wicked, yet prosper they alway, and increase in riches.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 13] Certainely I haue clensed mine heart in vaine, and washed mine hands in innocencie.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 14] For dayly haue I bene punished, and chastened euery morning.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 15] If I say, I will iudge thus, beholde the generation of thy children: I haue trespassed.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 16] Then thought I to know this, but it was too painefull for me,
[GNV | EN | OT | Psalms | Chapter 73 | Verse 17] Vntill I went into the Sanctuarie of God: then vnderstoode I their ende.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 18] Surely thou hast set them in slipperie places, and castest them downe into desolation.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 19] How suddenly are they destroyed, perished and horribly consumed,
[GNV | EN | OT | Psalms | Chapter 73 | Verse 20] As a dreame when one awaketh! O Lord, when thou raisest vs vp, thou shalt make their image despised.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 21] Certainely mine heart was vexed, and I was pricked in my reines:
[GNV | EN | OT | Psalms | Chapter 73 | Verse 22] So foolish was I and ignorant: I was a beast before thee.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 23] Yet I was alway with thee: thou hast holden me by my right hand.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 24] Thou wilt guide me by thy counsell, and afterward receiue me to glory.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 25] Whom haue I in heauen but thee? and I haue desired none in the earth with thee.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 26] My flesh fayleth and mine heart also: but God is the strength of mine heart, and my portion for euer.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 27] For loe, they that withdrawe themselues from thee, shall perish: thou destroyest all them that goe a whoring from thee.
[GNV | EN | OT | Psalms | Chapter 73 | Verse 28] As for me, it is good for me to draw neere to God: therefore I haue put my trust in the Lord God, that I may declare all thy workes.
