[GNV | EN | OT | Psalms | Chapter 60 | Verse 1] To him that excelleth upon Shushan Eduth, or Michtam. A Psalme of David to teach. When he fought against Aram Naharaim, and against Aram Zobah, when Joab returned and slew twelve thousand Edomites in the salt valley. O God, thou hast cast vs out, thou hast scattered vs, thou hast bene angry, turne againe vnto vs.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 2] Thou hast made the land to tremble, and hast made it to gape: heale the breaches thereof, for it is shaken.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 3] Thou hast shewed thy people heauy things: thou hast made vs to drinke the wine of giddines.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 4] But now thou hast giuen a banner to them that feare thee, that it may be displayed because of thy trueth. Selah.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 5] That thy beloued may be deliuered, helpe with thy right hand and heare me.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 6] God hath spoken in his holines: therefore I will reioyce: I shall deuide Shechem, and measure the valley of Succoth.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 7] Gilead shalbe mine, and Manasseh shalbe mine: Ephraim also shalbe the strength of mine head: Iudah is my lawgiuer.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 8] Moab shalbe my wash pot: ouer Edom will I cast out my shoe: Palestina shew thy selfe ioyfull for me.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 9] Who will leade me into the strong citie? who will bring me vnto Edom?
[GNV | EN | OT | Psalms | Chapter 60 | Verse 10] Wilt not thou, O God, which hadest cast vs off, and didest not go forth, O God, with our armies?
[GNV | EN | OT | Psalms | Chapter 60 | Verse 11] Giue vs helpe against trouble: for vaine is the helpe of man.
[GNV | EN | OT | Psalms | Chapter 60 | Verse 12] Through God we shall doe valiantly: for he shall tread downe our enemies.
