[GNV | EN | OT | Psalms | Chapter 136 | Verse 1] Praise ye the Lord, because he is good: for his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 136 | Verse 2] Praise ye the God of gods: for his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 136 | Verse 3] Praise ye the Lord of lordes: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 4] Which onely doeth great wonders: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 5] Which by his wisedome made the heauens: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 6] Which hath stretched out the earth vpon the waters: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 7] Which made great lightes: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 8] As the sunne to rule the day: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 9] The moone and the starres to gouerne the night: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 10] Which smote Egypt with their first borne, (for his mercie endureth for euer)
[GNV | EN | OT | Psalms | Chapter 136 | Verse 11] And brought out Israel from among them (for his mercie endureth for euer)
[GNV | EN | OT | Psalms | Chapter 136 | Verse 12] With a mightie hande and stretched out arme: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 13] Which deuided the red Sea in two partes: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 14] And made Israel to passe through the mids of it: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 15] And ouerthrewe Pharaoh and his hoste in the red Sea: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 16] Which led his people through the wildernes: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 17] Which smote great Kings: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 18] And slewe mightie Kings: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 19] As Sihon King of the Amorites: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 20] And Og the King of Bashan: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 21] And gaue their land for an heritage: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 22] Euen an heritage vnto Israel his seruant: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 23] Which remembred vs in our base estate: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 24] And hath rescued vs from our oppressours: for his mercie endureth for euer:
[GNV | EN | OT | Psalms | Chapter 136 | Verse 25] Which giueth foode to all flesh: for his mercie endureth for euer.
[GNV | EN | OT | Psalms | Chapter 136 | Verse 26] Praise ye the God of heauen: for his mercie endureth for euer.
