[GNV | EN | OT | Psalms | Chapter 147 | Verse 1] Praise ye the Lord, for it is good to sing vnto our God: for it is a pleasant thing, and praise is comely.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 2] The Lord doth builde vp Ierusalem, and gather together the dispersed of Israel.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 3] He healeth those that are broken in heart, and bindeth vp their sores.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 4] He counteth the nomber of the starres, and calleth them all by their names.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, and great is his power: his wisdome is infinite.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 6] The Lord relieueth the meeke, and abaseth the wicked to the ground.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 7] Sing vnto the Lord with prayse: sing vpon the harpe vnto our God,
[GNV | EN | OT | Psalms | Chapter 147 | Verse 8] Which couereth the heauen with cloudes, and prepareth raine for the earth, and maketh the grasse to growe vpon the mountaines:
[GNV | EN | OT | Psalms | Chapter 147 | Verse 9] Which giueth to beasts their foode, and to the yong rauens that crie.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 10] He hath not pleasure in the strength of an horse, neither delighteth he in the legs of man.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 11] But the Lord deliteth in them that feare him, and attende vpon his mercie.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 12] Prayse the Lord, O Ierusalem: prayse thy God, O Zion.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 13] For he hath made the barres of thy gates strong, and hath blessed thy children within thee.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 14] He setteth peace in thy borders, and satisfieth thee with the floure of wheate.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 15] He sendeth foorth his commandement vpon earth, and his worde runneth very swiftly.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 16] He giueth snowe like wooll, and scattereth the hoare frost like ashes.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 17] He casteth foorth his yce like morsels: who can abide the colde thereof?
[GNV | EN | OT | Psalms | Chapter 147 | Verse 18] He sendeth his worde and melteth them: he causeth his winde to blowe, and the waters flowe.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 19] He sheweth his word vnto Iaakob, his statutes and his iudgements vnto Israel.
[GNV | EN | OT | Psalms | Chapter 147 | Verse 20] He hath not dealt so with euery nation, neither haue they knowen his iudgements. Prayse ye the Lord.
