[GNV | EN | OT | Psalms | Chapter 145 | Verse 1] A Psalme of David of Praise. O my God and King, I will extold thee, and will blesse thy Name for euer and euer.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 2] I will blesse thee dayly, and prayse thy Name for euer and euer.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the Lord, and most worthy to be praysed, and his greatnes is incomprehensible.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 4] Generation shall praise thy works vnto generation, and declare thy power.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 5] I wil meditate of the beautie of thy glorious maiestie, and thy wonderfull workes,
[GNV | EN | OT | Psalms | Chapter 145 | Verse 6] And they shall speake of the power of thy fearefull actes, and I will declare thy greatnes.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 7] They shall breake out into the mention of thy great goodnes, and shall sing aloude of thy righteousnesse.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 8] The Lord is gracious and merciful, slow to anger, and of great mercie.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 9] The Lord is good to all, and his mercies are ouer all his workes.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 10] All thy workes prayse thee, O Lord, and thy Saints blesse thee.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 11] They shewe the glory of thy kingdome, and speake of thy power,
[GNV | EN | OT | Psalms | Chapter 145 | Verse 12] To cause his power to be knowen to the sonnes of men, and the glorious renoume of his kingdome.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdome is an euerlasting kingdome, and thy dominion endureth throughout all ages.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 14] The Lord vpholdeth all that fall, and lifteth vp all that are ready to fall.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all waite vpon thee, and thou giuest them their meate in due season.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 16] Thou openest thine hand, and fillest all things liuing of thy good pleasure.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 17] The Lord is righteous in all his wayes, and holy in all his workes.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 18] The Lord is neere vnto all that call vpon him: yea, to all that call vpon him in trueth.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 19] He wil fulfill the desire of them that feare him: he also wil heare their cry, and wil saue them.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 20] The Lord preserueth all them that loue him: but he will destroy all the wicked.
[GNV | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth shall speake the prayse of the Lord, and all flesh shall blesse his holy Name for euer and euer.
