[GNV | EN | OT | Psalms | Chapter 143 | Verse 1] A Psalme of David. Heare my prayer, O Lord, and hearken vnto my supplication: answer me in thy trueth and in thy righteousnes.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 2] (And enter not into iudgement with thy seruant: for in thy sight shall none that liueth, be iustified)
[GNV | EN | OT | Psalms | Chapter 143 | Verse 3] For the enemie hath persecuted my soule: he hath smitten my life downe to the earth: he hath layde me in the darkenes, as they that haue bene dead long agoe:
[GNV | EN | OT | Psalms | Chapter 143 | Verse 4] And my spirit was in perplexitie in me, and mine heart within me was amased.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 5] Yet do I remember the time past: I meditate in all thy workes, yea, I doe meditate in the workes of thine hands.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 6] I stretche forth mine hands vnto thee: my soule desireth after thee, as the thirstie land. Selah.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 7] Heare me spedely, O Lord, for my spirit faeleth: hide not thy face from me, els I shall be like vnto them that go downe into the pit.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 8] Let me heare thy louing kindenes in the morning, for in thee is my trust: shewe mee the waie, that I should walke in, for I lift vp my soule vnto thee.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 9] Deliuer me, O Lord, from mine enemies: for I hid me with thee.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 10] Teach me to do thy will, for thou art my God: let thy good Spirit leade me vnto the land of righteousnes.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 11] Quicken me, O Lord, for thy Names sake, and for thy righteousnes bring my soule out of trouble.
[GNV | EN | OT | Psalms | Chapter 143 | Verse 12] And for thy mercy slay mine enemies, and destrie all them that oppresse my soule: for I am thy seruant.
