[GNV | EN | OT | Psalms | Chapter 89 | Verse 1] A Psalme to give instruction, of Ethan the Ezrahite. I will sing the mercies of the Lord for euer: with my mouth will I declare thy trueth from generation to generation.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 2] For I said, Mercie shalbe set vp for euer: thy trueth shalt thou stablish in ye very heauens.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 3] I haue made a couenant with my chosen: I haue sworne to Dauid my seruant,
[GNV | EN | OT | Psalms | Chapter 89 | Verse 4] Thy seede will I stablish for euer, and set vp thy throne from generation to generation. Selah.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 5] O Lord, euen the heauens shall prayse thy wonderous worke: yea, thy trueth in the Congregation of the Saints.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 6] For who is equall to the Lord in the heauen? and who is like the Lord among the sonnes of the gods?
[GNV | EN | OT | Psalms | Chapter 89 | Verse 7] God is very terrible in the assemblie of the Saints, and to be reuerenced aboue all, that are about him.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 8] O Lord God of hostes, who is like vnto thee, which art a mightie Lord, and thy trueth is about thee?
[GNV | EN | OT | Psalms | Chapter 89 | Verse 9] Thou rulest the raging of the sea: when the waues thereof arise, thou stillest them.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 10] Thou hast beaten downe Rahab as a man slaine: thou hast scattered thine enemies with thy mightie arme.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 11] The heauens are thine, the earth also is thine: thou hast layde the foundation of the world, and all that therein is.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 12] Thou hast created the North and the South: Tabor and Hermon shall reioyce in thy Name.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 13] Thou hast a mightie arme: strong is thine hand, and high is thy right hand.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 14] Righteousnesse and equitie are the stablishment of thy throne: mercy and trueth goe before thy face.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 15] Blessed is the people, that can reioyce in thee: they shall walke in the light of thy countenance, O Lord.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 16] They shall reioyce continually in thy Name, and in thy righteousnes shall they exalt them selues.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 17] For thou art the glory of their strength, and by thy fauour our hornes shall be exalted.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 18] For our shield apperteineth to the Lord, and our King to the holy one of Israel.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 19] Thou spakest then in a vision vnto thine Holy one, and saydest, I haue layde helpe vpon one that is mightie: I haue exalted one chosen out of the people.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 20] I haue found Dauid my seruant: with mine holy oyle haue I anoynted him.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 21] Therefore mine hande shall be established with him, and mine arme shall strengthen him.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 22] The enemie shall not oppresse him, neither shall the wicked hurt him.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 23] But I will destroy his foes before his face, and plague them that hate him.
[GNV | EN | OT | Psalms | Chapter 89 | Verse 24] My trueth also and my mercie shall be with him, and in my Name shall his horne be exalted.
